#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
building_alchemist_guild;Building Alchemists' Guild;Construire une Guilde des Alchimistes;;;Construyendo un Gremio de Alquimistas;;;;;;;;;x
EVTDESCwildfire.82B;[fake_artifact.Owner.GetTitledFirstNameWithDynastyNoRegnal] has discovered that the [fake_artifact.GetName] you gifted [fake_artifact.Owner.GetHerHim] are in fact forgeries! Needless to say [fake_artifact.Owner.GetSheHe] is not pleased.;;;;[fake_artifact.Owner.GetTitledFirstNameWithDynastyNoRegnal] ha descubierto que el [fake_artifact.GetName] dotado [fake_artifact.Owner.GetHerHim] son de hecho falsificaciones. No hace falta decir que [fake_artifact.Owner.GetSheHe] no está contento.;;;;;;;;;x
EVTOPTAwildfire.82;I thought they would be indistinguishable from the real thing;;;;Pensé que serían indistinguibles de lo real;;;;;;;;;x
EVTDESCwildfire.83;You were very grateful when [From.GetTitledFirstNameWithDynastyNoRegnal] gave you some [fake_artifact.GetName] as a gift. But when you had them inspected they were found to be a forgery!;;;;Estuviste muy agradecido cuando [From.GetTitledFirstNameWithDynastyNoRegnal] te dio un [fake_artifact.GetName] como regalo. ¡Pero cuando los inspeccionó se descubrió que eran una falsificación!;;;;;;;;;x
EVTOPTAwildfire.83;No doubt that dishonourable alchemist forged them [From.GetHerHim]self!;;;;¡Sin duda ese deshonroso alquimista los forjó!;;;;;;;;;x
EVTDESCwildfire.84;The inflation of prices and hardship that was inflicted on the people of [Root.Capital.GetName] because of your counterfeit currency turned out to be worse than expected. This prompted many local merchants and nobles to investigate, and eventually the source of the fake silver was traced to you!;;;;La inflación de los precios y las dificultades que se infligió a la gente de [Root.Capital.GetName] debido a su moneda falsificada resultó ser peor de lo esperado. Esto provocó que muchos comerciantes y nobles locales investigaran, ¡y finalmente se descubrió el origen de la plata falsa!;;;;;;;;;x
EVTOPTAwildfire.84;This is unfortunate;;;;Esto es desafortunado;;;;;;;;;x
golden_bracelets_fake;Golden Bracelets;Bracelets en or;Goldene Armreife;;;Brazaletes dorados;;;;;;;;x
golden_bracelets_fake_desc;A set of heavy gold bracelets with intricate engravings and filigree.;Un ensemble de lourds bracelets d'or avec des gravures complexes et filigranes.;Ein Satz schwerer Armreife aus Gold mit kunstvollen Gravuren und feiner Filigranarbeit.;;;Un conjunto de pesadas pulseras de oro macizo con complejos grabados y filigranas.;;;;;;;;x
collar_of_pearls_fake;Collar of Pearls;Collier de perles;Perlenhalsband;;Collar de perlas;;;;;;;;;x
collar_of_pearls_fake_desc;Hoops upon hoops of pearls create the base for this necklace. An extra dimension is added to the piece by a dozen pea-sized amethysts.;Des cercles de perles créent la base pour ce collier. Une dimension supplémentaire est ajoutée à la pièce par une douzaine d'améthystes de la taille de pois.;Mehrere Reifen von Perlen bilden die Basis dieser Halskette, und ein Dutzend Amethyste in Erbsengröße verleihen dem Werk eine zusätzliche Dimension.;;;;Aros y perlas forman la base de este collar. Una docena de amatistas de pequeño tamaño le añaden volumen.;;;;;;;x
gemstones_fake;Gemstones;;;;Piedras preciosas;;;;;;;;;x
gemstones_fake_desc;A collection of beautiful precious gemstones;;;;Una colección de hermosas piedras preciosas;;;;;;;;;x
fake_currency_problem;Counterfeit Currency;;;;Moneda falsificada;;;;;;;;;x
EVTDESCwildfire.91;[Root.PrimaryTitle.GetFOA] and [Root.GetSocietyRank] [Root.GetTitledFirstNameNoRegnal],\n\nWe are encouraged by your apparent dedication to The Guild of Alchemists. The deeper secrets of our order can be learnt from the wisdoms, and so we'd like you to travel to learn from one.\n\nSigned, [From.GetSocietyRank] [From.GetFirstName];;;;[Root.PrimaryTitle.GetFOA] y [Root.GetSocietyRank] [Root.GetTitledFirstNameNoRegnal],\n\nNos sentimos alentados por su aparente dedicación al Gremio de Alquimistas. Los secretos más profundos de nuestra orden se pueden aprender a partir de los conocimientos, por lo que nos gustaría que viajara para aprender de un Sabio.\n\nFirmado, [From.GetSocietyRank] [From.GetFirstName];;;;;;;;;x
TOOLTIPwildfire.91;You are tasked with travelling abroad to learn from a Wisdom. A wisdom will be found for you in due course.;;;;Tienes la tarea de viajar al extranjero para aprender de un Sabio. El sabio se encontrará contigo a su debido tiempo;;;;;;;;;x
quest_alchemists_learn_from_wisdom;Learn From a Wisdom;;;;;Aprende de un sabio;;;;;;;;x
quest_alchemists_learn_from_wisdom_fallback;Learn From a Wisdom;;;;Aprende de un sabio;;;;;;;;;x
quest_alchemists_learn_from_wisdom_desc;The Wisdoms of the Alchemist Guild have deemed you ready to learn the deeper secrets of the guild, and so would like to you to travel abroad to learn from a wisdom.;;;;Los Sabios del Gremio de Alquimistas te han considerado listo para aprender los secretos más profundos del gremio, por lo que te gustaría viajar al extranjero para aprender de un sabio.;;;;;;;;;x
quest_alchemists_learn_from_wisdom_tooltip;The Alchemist's Guild is searching for a Wisdom willing to take you as a pupil. They will §Yinform'§! you when one is found.;;;;;;;;;;;;;x
EVTDESCwildfire.93;[Root.PrimaryTitle.GetFOA] and [Root.GetSocietyRank] [Root.GetTitledFirstNameNoRegnal],\n\nPart of our duty as a wisdom of the Guild of Alchemists is to pass on our knowledge to the next generation. Therefore we would like you to mentor the [FromFrom.GetSocietyRank] [FromFrom.GetTitledFirstNameWithDynastyNoRegnal] for while in [Root.Capital.GetName].\n\nSigned, [From.GetSocietyRank] [From.GetFirstName];;;;[Root.PrimaryTitle.GetFOA] y [Root.GetSocietyRank] [Root.GetTitledFirstNameNoRegnal],\n\nParte de nuestro deber como sabios del Gremio de Alquimistas es transmitir nuestro conocimiento a la próxima generación. Por lo tanto, nos gustaría que seas el maestro de [FromFrom.GetSocietyRank] [FromFrom.GetTitledFirstNameWithDynastyNoRegnal] for while in [Root.Capital.GetName].\n\nFirmado, [From.GetSocietyRank] [From.GetFirstName];;;;;;;;;x
TOOLTIPwildfire.93;[FromFrom.GetTitledFirstNameWithDynastyNoRegnal] will travel to [Root.Capital.GetName] to learn the deeper secrets of the guild from you.;;;;[FromFrom.GetTitledFirstNameWithDynastyNoRegnal] viajará a [Root.Capital.GetName] para conocer los secretos más profundos del gremio.;;;;;;;;;x
EVTDESCwildfire.94;A wisdom has been found who would be willing to impart some [From.GetHerHis] knowledge upon you. [From.GetSocietyRank] [From.GetFirstNameWithDynasty] has invited you to travel to [From.Location.GetName].;;;;Se ha encontrado un sabio que estaría dispuesto a impartirle algo de conocimiento. [From.GetSocietyRank] [From.GetFirstNameWithDynasty] te ha invitado a viajar a [From.Location.GetName].;;;;;;;;;x
EVTOPTAwildfire.94;A fine opportunity, let us depart!;;;;Una buena oportunidad, ¡vamos a partir!;;;;;;;;;x
TOOLTIPwildfire.94;You travel abroad to learn from [From.GetTitledFirstNameWithDynasty]. This will take up to a year during which time you will need a regent;;;;Viajas al exterior para aprender de [From.GetTitledFirstNameWithDynasty]. Esto tomará hasta un año durante el cual necesitarás un regente;;;;;;;;;x
EVTOPTBwildfire.94;Unfortunately I cannot leave at this time;;;;Desafortunadamente no puedo irme en este momento;;;;;;;;;x
EVTDESCwildfire.95;[From.GetTitledFirstNameWithDynasty] sent thanks for your invitation, but says [From.GetSheHe] is unable to travel to [Root.Capital.GetName] at this time.;;;;[From.GetTitledFirstNameWithDynasty]  dice gracias por la invitación, pero no puede viajar a [Root.Capital.GetName] en este momento.;;;;;;;;;x
EVTDESCwildfire.97;[FromFrom.GetTitledFirstNameWithDynasty], the acolyte sent to learn from you, is no longer available to travel to [Root.Capital.GetName].;;;;[FromFrom.GetTitledFirstNameWithDynasty], el acólito enviado para aprender de usted ya no está disponible para viajar a [Root.Capital.GetName].;;;;;;;;;x
EVTOPTAwildfire.97;That is a shame;;;;Es una vergüenza;;;;;;;;;x
EVTDESCwildfire.98;[wisdom_mentor.GetTitledFirstNameWithDynasty], the wisdom assigned to be your mentor, is no longer available to receive you.;;;;[wisdom_mentor.GetTitledFirstNameWithDynasty], el sabio asignado para ser su mentor, ya no está disponible para recibirlo.;;;;;;;;;x
EVTOPTAwildfire.98;I will need to find a new teacher;;;;Tendré que encontrar un nuevo maestro;;;;;;;;;x
EVTDESCwildfire.99;After spending some time settling down in the city you are ready to begin learning from [wisdom_mentor.GetSocietyRank] [wisdom_mentor.GetFirstName]. You are invited to [wisdom_mentor.GetHerHis] quarters where you can begin your lessons.;;;;Después de pasar algún tiempo asentándose en la ciudad, está listo para comenzar a aprender de [wisdom_mentor.GetSocietyRank] [wisdom_mentor.GetFirstName]. Te invito a su laboratorio [wisdom_mentor.GetHerHis] donde puedes comenzar tus lecciones.;;;;;;;;;x
EVTOPTAwildfire.99;Teach me all you know;;;;Enséñame todo lo que sabes;;;;;;;;;x
TOOLTIPwildfire.99GREATOUTCOME;The lessons are a great success;;;;Las lecciones son un gran éxito;;;;;;;;;x
TOOLTIPwildfire.99GOODOUTCOME;The lessons go well;;;;Las lecciones van bien;;;;;;;;;x
TOOLTIPwildfire.99OKOUTCOME;The lessons are difficult, but some things are learnt;;;;Las lecciones son difíciles, pero algunas cosas se aprenden;;;;;;;;;x
TOOLTIPwildfire.99BADOUTCOME;The lessons go badly;;;;Las lecciones van mal;;;;;;;;;x
EVTOPTBwildfire.99;Actually, these lessons cannot take place;;;;En realidad, estas lecciones no las entiendo;;;;;;;;;x
EVTDESCwildfire.100;[From.GetTitledFirstNameWithDynasty], the acolyte sent to learn from you, has finally arrived in [Root.Capital.GetName]. [From.GetSheHeCap] has spent some time settling in, but has now arrived in your quarters ready to receive your wisdom.;;;;[From.GetTitledFirstNameWithDynasty], el acólito enviado para aprender de usted finalmente ha llegado a [Root.Capital.GetName]. [From.GetSheHeCap] ha dedicado un tiempo a establecerse, pero ahora ha llegado a su alojamiento listo para recibir su conocimiento.;;;;;;;;;x
EVTOPTAwildfire.100;Let us begin;;;;Empecemos;;;;;;;;;x
EVTDESCwildfire.101A;Your time learning from [wisdom_mentor.GetSocietyRank] [wisdom_mentor.GetFirstName] was very useful. You spent many days and hours discussing the deeper secrets of the alchemists and practicing the proper methods for manipulating the substance. You even managed to impart some of your own ideas on your mentor, yielding fruitful new ideas and revelations.;;;;Tu tiempo aprendiendo de [wisdom_mentor.GetSocietyRank] [wisdom_mentor.GetFirstName] fue muy útil. Pasaste muchos días y horas discutiendo los secretos más profundos de los alquimistas y practicando los métodos adecuados para manipular la sustancia. Incluso logró impartir algunas de sus propias ideas a su mentor, produciendo nuevas ideas y revelaciones fructíferas.;;;;;;;;;x
EVTDESCwildfire.101B;Some of the deeper and more esoteric ideas that [wisdom_mentor.GetSocietyRank] [wisdom_mentor.GetFirstName] has were hard to grasp at first, but after many days of studying under [wisdom_mentor.GetHerHis] tutelage you feel you have an understanding. You now know more of the secrets and powers of the alchemists, and you skill in manipulating the substance has increased.;;;;Algunas de las ideas más profundas y más esotéricas que [wisdom_mentor.GetSocietyRank] [wisdom_mentor.GetFirstName] tiene fueron difíciles de entender al principio, pero después de muchos días de estudiar bajo [wisdom_mentor.GetHerHis] tutela, sientes que lo entiendes. Ahora sabes más sobre los secretos y poderes de los alquimistas, y tu habilidad para manipular la sustancia ha aumentado.;;;;;;;;;x
EVTDESCwildfire.101C;[wisdom_mentor.GetSocietyRank] [wisdom_mentor.GetFirstName] made for an awkward teacher at times, but after days of hard work you feel you have at least learnt something of value. Your knowledge of the substance and the deeper secrets of the alchemists has improved somewhat.;;;;[wisdom_mentor.GetSocietyRank] [wisdom_mentor.GetFirstName] a veces es un profesor incómodo, pero después de días de duro trabajo, sientes que al menos has aprendido algo de valor. Su conocimiento de la sustancia y los secretos más profundos de los alquimistas ha mejorado un poco.;;;;;;;;;x
EVTDESCwildfire.101D;Unfortunately you couldn't get on with [wisdom_mentor.GetSocietyRank] [wisdom_mentor.GetFirstName]'s teaching methods. Depsite spending hours under [wisdom_mentor.GetHerHis] tutelage, you couldn't grasp the deeper secrets of the guild or the finer methods of handling the substance.;;;;Lamentablemente, no pudo continuar con los métodos de enseñanza de [wisdom_mentor.GetSocietyRank] [wisdom_mentor.GetFirstName]. Despues de horas bajo la tutela de [wisdom_mentor.GetHerHis], no pudiste captar los secretos más profundos del gremio o los métodos más finos para manejar la sustancia.;;;;;;;;;x
EVTOPTAwildfire.101A;This was most enlightening, thank you!;;;;Esto fue muy esclarecedor, ¡gracias!;;;;;;;;;x
EVTOPTAwildfire.101B;I feel this was useful;;;;Siento que esto fue útil;;;;;;;;;x
EVTOPTAwildfire.101C;I thank you for your time;;;;Le doy las gracias por su tiempo;;;;;;;;;x
EVTOPTAwildfire.101D;This was a waste of time and effort!;;;;¡Esto fue una pérdida de tiempo y esfuerzo!;;;;;;;;;x
opinion_good_student;Good Student;;;;Buen estudiante;;;;;;;;;x
opinion_bad_student;Bad Student;;;;Mal estudiante;;;;;;;;;x
EVTDESCwildfire.102A;The time spent tutoring [From.GetTitledFirstNameWithDynasty] went remarkably well. You spent many days and hours discussing the deeper secrets of the alchemists and practicing the proper methods for manipulating the substance. [From.GetTitledFirstNameNoRegnal] even managed to impart some of  [From.GetHerHis] own ideas to you, yielding fruitful new ideas and revelations.;;;;El tiempo dedicado a la tutoría de [From.GetTitledFirstNameWithDynasty] fue notablemente bueno. Pasaste muchos días y horas discutiendo los secretos más profundos de los alquimistas y practicando los métodos adecuados para manipular la sustancia. [From.GetTitledFirstNameNoRegnal] incluso se las arregló para impartirle algunas de sus propias ideas, produciendo nuevas ideas y revelaciones fructíferas.;;;;;;;;;x
EVTDESCwildfire.102B;[From.GetTitledFirstNameWithDynasty] had difficulty grasping some of the deeper and more esoteric ideas at first, but after many days of studying under your tutelage you feel [From.GetSheHe] has an understanding. [From.GetSheHeCap] now knows more of the secrets and powers of the alchemists, and [From.GetHerHis] skill in manipulating the substance has increased.;;;;[From.GetTitledFirstNameWithDynasty] tuvo dificultades para comprender algunas de las ideas más profundas y más esotéricas al principio, pero después de muchos días de estudiar bajo tu tutela, sientes que tiene un entendimiento. [From.GetSheHeCap] ahora conoce más de los secretos y poderes de los alquimistas, y la habilidad en la manipulación de la sustancia ha aumentado.;;;;;;;;;x
EVTDESCwildfire.102C;[From.GetTitledFirstNameWithDynasty] made for an awkward student at times, but after days of hard work you feel [From.GetSheHe] has at least learnt something of value. [From.GetHerHisCap] knowledge of the substance and the deeper secrets of the alchemists has improved somewhat.;;;;[From.GetTitledFirstNameWithDynasty] es un hecho que es un estudiante torpe a veces, pero después de días de duro trabajo siente que al menos ha aprendido algo de valor. [From.GetHerHisCap] su conocimiento de la sustancia y los secretos más profundos de los alquimistas ha mejorado algo.;;;;;;;;;x
EVTDESCwildfire.102D;Unfortunately there wasn't any chemistry between you and [From.GetTitledFirstNameWithDynasty]. Depsite spending hours under your tutelage, [From.GetSheHe] couldn't grasp the deeper secrets of the guild or the finer methods of handling the substance.;;;;Desafortunadamente no hubo química entre usted y [From.GetTitledFirstNameWithDynasty]. Despues que pasa horas bajo tu tutela, no pudo comprender los secretos más profundos del gremio o los métodos más finos para manejar la sustancia.;;;;;;;;;x
EVTOPTAwildfire.102A;I have never had such a wise student!;;;;¡Nunca tuve un alumno tan sabio!;;;;;;;;;x
EVTOPTAwildfire.102B;I am glad I could help [From.GetHerHim];;;;Estoy contento de haber podido ayudarle;;;;;;;;;x
EVTOPTAwildfire.102C;Thank you for coming;;;;Gracias por venir;;;;;;;;;x
EVTOPTAwildfire.102D;I am not sure we achieved anything really;;;;No estoy muy seguro de que hayamos logrado algo realmente;;;;;;;;;x
opinion_good_mentor;Good Mentor;;;;Buen mentor;;;;;;;;;x
opinion_bad_mentor;Bad Mentor;;;Mal mentor;;;;;;;;;;x
quest_alchemists_teach_acolyte;Mentor $TARGET$;;;;Mentor $OBJETIVO$;;;;;;;;;x
quest_alchemists_teach_acolyte_fallback;Mentor an Acolyte;;;;Mentor y acólito;;;;;;;;;x
quest_alchemists_teach_acolyte_desc;The Wisdoms of the Alchemist Guild have asked that you impart some of your knowledge on an acolyte of the guild.;;;;Los Sabios del Gremio de Alquimistas le han pedido que imparta algunos de sus conocimientos a un acólito del gremio.;;;;;;;;;x
quest_alchemists_teach_acolyte_tooltip;The Acolyte will travel to you soon. When they arrive the teaching will begin.;;;;;;;;;;;;;x
EVTDESCwildfire.111;[Root.PrimaryTitle.GetFOA] and [Root.GetSocietyRank] [Root.GetTitledFirstNameNoRegnal],\n\nThe guild posseses vast stores of knowledge kept secret from the world. As a leading wisdom, we would like you to spend some time experimenting with and studying this knowledge.\n\nSigned, [From.GetSocietyRank] [From.GetFirstName];;;;[Root.PrimaryTitle.GetFOA] y [Root.GetSocietyRank] [Root.GetTitledFirstNameNoRegnal],\n\nEl gremio posee vastos almacenes de conocimiento guardados en secreto del mundo. Como líder de los sabios, nos gustaría que dediques algún tiempo a experimentar y estudiar este conocimiento.\n\nFirmado, [From.GetSocietyRank] [From.GetFirstName];;;;;;;;;x
TOOLTIPwildfire.111;You are tasked with studying the knowledge stores of the Alchemist Guild;;;;Tienes la tarea de estudiar los almacenes de conocimiento del Gremio de Alquimistas;;;;;;;;;x
quest_alchemists_study_knowledge_stores;Study the Knowledge Stores;;;;Estudie los almacenes de conocimiento;;;;;;;;;x
quest_alchemists_study_knowledge_stores_fallback;Study the Knowledge Stores;;;;Estudie los almacenes de conocimiento;;;;;;;;;x
quest_alchemists_study_knowledge_stores_desc;The Wisdoms of the Alchemist Guild have asked that you spend some time studying and experimenting in the knowledge stores;;;;Los Sabios del Gremio de Alquimistas le han pedido que pase algún tiempo estudiando y experimentando en los almacenes de conocimiento;;;;;;;;;x
quest_alchemists_study_knowledge_stores_tooltip;Your rooms and equipment are being prepared for your study.;;;;;;;;;;;;;x
EVTDESCwildfire.112;[acolyte.GetSocietyRank] [acolyte.GetFirstName] has spent the past few days preparing the Guildhall in [Root.Capital.GetName] for your arrival. [acolyte.GetSheHeCap] says the stores are ready for use, and asks what you'd like to focus on so [acolyte.GetSheHe] can provide the neccessary materials.;;;;[acolyte.GetSocietyRank] [acolyte.GetFirstName] a pasado los últimos días preparando la sala en [Root.Capital.GetName] para su llegada. [acolyte.GetSheHeCap] dice que los almacenes están listos para usar, y le pregunta en qué le gustaría enfocarse para que [acolyte.GetSheHe] pueda proporcionar los materiales necesarios.;;;;;;;;;x
EVTOPTAwildfire.112;The advanced theory and uses of the 'substance';;;;La teoría avanzada y los usos de la 'sustancia';;;;;;;;;x
EVTOPTBwildfire.112;I will study and experiment with alchemy;;;;Voy a estudiar y experimentar con la alquimia;;;;;;;;;x
EVTOPTCwildfire.112;Read on the arcane histories and knowledge;;;;Lea sobre las historias y el conocimiento arcano;;;;;;;;;x
TOOLTIPwildfire.112A;You study wildfire;;;Usted estudia Fuego Valyrio;;;;;;;;;;x
TOOLTIPwildfire.112B;You study alchemy;;;;Usted estudia Alquimia;;;;;;;;;x
TOOLTIPwildfire.112C;You study concepts of the arcane;;;;Usted estudia conceptos de lo Arcano;;;;;;;;;x
EVTDESCwildfire.113A;You spent many days experimenting with the substance, and the time was spent very productively. After consultation with the ancient scrolls of the stores, you managed to gain many new fascinating insights into the handling and use of wildfire, and as a consequence have become one of the foremost authorities in the guild.;;;;Pasaste muchos días experimentando con la sustancia, y el tiempo se gastó muy productivamente. Después de consultar con los antiguos pergaminos de los almacenes, logro obtener muchas nuevas ideas fascinantes sobre el manejo y el uso del Fuego Valyrio, y como consecuencia se han convertido en una de las principales autoridades del gremio.;;;;;;;;;x
EVTDESCwildfire.113B;Alchemy, the manipulation and transformation of materials, is one of the more unusual persuits of the guild. You spent much time in the knowledge studying complicated theories, and then putting them into practice by experimentation. These ancient formulae and procedures proved most successful, your skill and knowledge of alchemy is know renowed throughout the guild.;;;;La alquimia, la manipulación y transformación de materiales, es uno de los objetivos más inusuales del gremio. Pasaste mucho tiempo aprendiendo el conocimiento estudiando teorías complicadas, y luego poniéndolas en práctica mediante la experimentación. Estas fórmulas y procedimientos antiguos fueron los más exitosos, tu habilidad y conocimiento de la alquimia son conocidos en todo el gremio.;;;;;;;;;x
EVTDESCwildfire.113C;The knowledge stores contain countless scrolls and tomes on the histories of the world and its relation to the guild, and theories of supernatural spells and elixirs related to wildfire. You spent many hours reading as much of it as possible, and though the more esoteric and magical theories seem impossible, you have become an authority on the guild and its knowledge.;;;;Los almacenes de conocimiento contienen innumerables pergaminos y tomos sobre las historias del mundo y su relación con el gremio, y teorías de hechizos sobrenaturales y elixires relacionados el Fuego Valyrio. Pasaste muchas horas leyendo tanto como fue posible, y aunque las teorías más esotéricas y mágicas parecen imposibles, te has convertido en una autoridad en el gremio y por tu conocimiento.;;;;;;;;;x
EVTOPTAwildfire.113A;My skill with the substance knows no equal;;;;Mi habilidad con la sustancia no tiene igual;;;;;;;;;x
EVTOPTAwildfire.113B;True alchemy is just beyond reach however;;;;La verdadera alquimia está fuera del alcance, sin embargo no para mi;;;;;;;;;x
EVTOPTAwildfire.113C;I am the font of The Alchemist's knowledge;;;;Soy la fuente del conocimiento de los Alquimistas;;;;;;;;;x
alchemist_master_pyromancer;Master Pyromancer;;;;Maestro Piromante;;;;;;;;;x
alchemist_master_pyromancer_desc;This alchemist has obtained highly advanced skills in handling and using wildfire. Accidents are 3 times less likely to occur when using wildfire.;;;;Este alquimista ha obtenido habilidades muy avanzadas en el manejo y uso de Fuego Valyrio. Los accidentes son 3 veces menos probables de que ocurran cuando se usa Fuego Valyrio.;;;;;;;;;x
alchemist_master_alchemist;Master Alchemist;;;;Maestro Alquimista;;;;;;;;;x
alchemist_master_alchemist_desc;This alchemist has obtained highly advanced skills in alchemy. Forged valuables are 3 times less likely to be detected as frauds.;;;;Este alquimista ha obtenido habilidades altamente avanzadas en alquimia. Los objetos de valor falsificados tienen 3 veces menos probabilidades de ser detectados como fraudes.;;;;;;;;;x
alchemist_master_of_the_arcane;Master of the Arcane;;;;Maestro de lo Arcano;;;;;;;;;x
alchemist_master_of_the_arcane_desc;This alchemist has obtained highly advanced knowledge of the guild's histories and esoteric theories.;;;;Este alquimista ha obtenido un conocimiento muy avanzado de las historias del gremio y las teorías esotéricas.;;;;;;;;;x
EVTDESCwildfire.114A;The stores proved a useful tool in improving your knowledge of the substance. You learned of some advanced techniques in the use and handling of the substance, and conducted experiments that confirmed some of theories found in the ancient scrolls.;;;;Los almacenes demostraron ser una herramienta útil para mejorar su conocimiento de la sustancia. Aprendió algunas técnicas avanzadas en el uso y manejo de la sustancia, y realizó experimentos que confirmaron algunas de las teorías encontradas en los antiguos rollos.;;;;;;;;;x
EVTDESCwildfire.114B;One of the most ancient and difficult arts of the Guild, you spent your time in the stores experimenting with and studying alchemy. Some of the theories were difficult to implement, and the experiments that you performed were dangerous, but your knowledge and skill in manipulating substances has improved somewhat.;;;;Una de las artes más antiguas y difíciles del Gremio, pasaste tu tiempo en los almacenes experimentando y estudiando la alquimia. Algunas de las teorías fueron difíciles de implementar, y los experimentos que realizó fueron peligrosos, pero su conocimiento y habilidad en la manipulación de sustancias ha mejorado mucho.;;;;;;;;;x
EVTDESCwildfire.114C;There are many ancient scrolls and texts in the stores that speak of impossible theories and histories of the guild that seem fanciful. This esoteric knowledge seems to be beyond your reach, but after spending much time reading you at least have a greater overall understanding of the guild.;;;;Hay muchos pergaminos y textos antiguos en los almacenes que hablan de teorías imposibles e historias del gremio que parecen fantasiosas. Este conocimiento esotérico parece estar más allá de tu alcance, pero después de pasar mucho tiempo leyendo, al menos tienes una mayor comprensión general del gremio.;;;;;;;;;x
EVTOPTAwildfire.114A;Wildfire is the master substance;;;;El Fuego Valyrio es la sustancia maestra;;;;;;;;;x
EVTOPTAwildfire.114B;I now know more;;;;Ahora sé más;;;;;;;;;x
EVTOPTAwildfire.114C;There is much more to learn;;;;Hay mucho más por aprender;;;;;;;;;x
EVTDESCwildfire.115A;Despite help from the stores and the various acolytes, you did not advance your knowledge of the substance. Your experiments merely yielded mild explosions.;;;;Estudiar los fallos leves del Fuego Valyrio;;;;;;;;;x
EVTDESCwildfire.115B;Alchemy is one of the more tempermental and difficult practices of the guild. The theories and experiments suggested in some old scrolls found in the library yielded no decent results when carried out.;;;;Estudiar los fallos leves de la Alquimia;;;;;;;;;x
EVTDESCwildfire.115C;The scrolls you read on the more fanciful and extreme theories of the Guild were beyond your comprehension. What they speak of seems impossible, and of no practical use.;;;;Estudiar los fallos leves de lo Arcano;;;;;;;;;x
EVTOPTAwildfire.115A;At they were controlled explosions....;;;;;;;;;;;;;x
EVTOPTAwildfire.115B;How frustrating!;;;;;;;;;;;;;x
EVTOPTAwildfire.115C;These scrolls are useless;;;;;;;;;;;;;x
EVTDESCwildfire.116A;You prepared an elaborate experiment, as suggested by a scroll on advanced handling of the substance. You must have followed it incorrectly however, for it only resulted in a massive uncontrolled explosion!;;;;Estudiar los fallos catastróficos del Fuego Valyrio;;;;;;;;;x
EVTDESCwildfire.116B;One particularly haggard looking scroll in the stores suggested a possiblity of transmutating metal base metals into actual gold via a dangerous experiment! The fragmentary instructions proved too incomplete however, for you could produce no gold, and have been severely poisoned in the process.;;;;Estudiar los fallos catastróficos de la Alquimia;;;;;;;;;x
EVTDESCwildfire.116C;For hours and hours I studied arcane theories and ancient texts in the knowledge stores. The stories and claims are just too fanciful! I don't understand any of it! I feel I can't rest...;;;;Estudiar los fallos catastróficos de lo Arcano;;;;;;;;;x
EVTOPTAwildfire.116A;Arghhh!!;;;;;;;;;;;;;x
EVTOPTAwildfire.116B;Urghh;;;;;;;;;;;;;x
EVTOPTAwildfire.116C;This is maddening!;;;;;;;;;;;;;x
EVTDESCwildfire.117A;One ancient scroll in the knowledge stores caught your eye. It claims that at the height of their power the Alchemist's could use the substance to create living creatures of flame and weild them in battle. You studied the scroll intently and tried the neccessary procedure to create them, and miraculously you were successful!;;;;Un antiguo pergamino en los almacenes de conocimiento llamó tu atención. Afirma que en el apogeo de su poder, los Alquimistas podían usar la sustancia para crear criaturas vivientes de fuego y forjarlas en la batalla. ¡Estudiaste el pergamino con atención e intentaste el procedimiento necesario para crearlos, y milagrosamente fuiste exitoso!;;;;;;;;;x
EVTDESCwildfire.117B;The recent re-discovery of the Alchemist's power to create and weild creatures made of flame was a stunning revelation. You studied the relevent ancient scrolls in the knowledge stores so that you to could know of this power,  and after much experimentation with the substance you now also can use this fearsome power!;;;;El reciente redescubrimiento del poder del Alquimista para crear criaturas hechas de llamas fue una revelación deslumbrante. ¡Estudiaste los antiguos rollos importantes en los almacenes para poder conocer este poder, y después de mucha experimentación con la sustancia, ahora también puedes usar este temible poder!;;;;;;;;;x
EVTDESCwildfire.117C;The ultimate goal of the alchemist is to transmutate base metals into gold or silver. The scrolls speak of this power, but it has long be lost to the guild. You decided to spend your time in the stores trying to decipher the old texts, and experimented with new techniques and experiments. Ultimately you were successful, and have used the substance to make gold!;;;;El objetivo final del alquimista es transmutar los metales básicos en oro o plata. Los rollos hablan de este poder, pero hace tiempo que se perdió para el gremio. Decidiste pasar el tiempo en los almacenes tratando de descifrar los textos antiguos, y experimentaste con nuevas técnicas y experimentos. ¡Al final fuiste exitoso y usaste la sustancia para hacer oro!;;;;;;;;;x
EVTDESCwildfire.117D;The ultimate goal of the alchemist is to transmutate base metals into gold or silver. This power was lost to the guild, but was recently re-discovered. You decided to spend your time in the stores trying to decipher the old texts, and experimented with these new techniques and experiments. Ultimately you were successful, and have used the substance to make gold!;;;;El objetivo final del alquimista es transmutar los metales básicos en oro o plata. Este poder se perdió para el gremio, pero recientemente fue redescubierto. Decidir pasar el tiempo en los almacenes tratando de descifrar los textos antiguos, y experimentar con estas nuevas técnicas y experimentos. ¡Al final fuiste exitoso y usaste la sustancia para hacer oro!;;;;;;;;;x
