job_chancellor;Justiciar;Justicier;;;Justicia Mayor;;;;;;;;;x
focus_ed_martial_desc;[This.GetTitledFirstNameNoRegnal] focuses [This.GetHerHis] studies on the ways of military strategy and war.\n§GRowdy§! and §GWillful§! children will do better with this education, while §RTimid§! children and §RIdolizers§! will be hampered.\nA child's §YLearning§! skill is the primary attribute that effects education outcome.\n;[This.GetTitledFirstName] concentre ses études sur la stratégie militaire et la guerre.\nLes enfants §Gchahuteurs§! et §Gopiniâtres§! s'en sortiront mieux avec cette éducation, alors que les enfants §Rtimides§! et §Ridolâtres§! éprouveront des difficultés.;[This.GetTitledFirstName] konzentriert sich auf Militärstrategie und die Kriegführung.\n§GRauflustige§! und §Geigenwillige§! Kinder haben es dabei leicht, während §Rzaghafte§! und §Rmanipulierbare§! Kinder Schwierigkeiten haben.;;[This.GetTitledFirstName] centra [This.GetHerHis]s estudios sobre las de estrategia militar y guerra.\nA los niños §GRuidosos§! y §GObstinados§! Les irá mejor con esta educación, mientras que los niños §RTimidos§! y §RAdoradores§! encontrarán problemas.;;;;;;;;;x
focus_ed_stewardship_desc;[This.GetTitledFirstNameNoRegnal] focuses [This.GetHerHis] studies on bookkeeping and administration.\n§GBrooding§! and §GConscientious§! children will do better with this education, while §RIndolent§! and §RHaughty§! children will be hampered.\nA child's §YLearning§! skill is the primary attribute that effects education outcome.\n;[This.GetTitledFirstName] concentre ses études sur la comptabilité et l'administration.\nLes enfants §Gsongeurs§! et §Gconsciencieux§! s'en sortiront mieux avec cette éducation, alors que les enfants §Rveules§! et §Rhautains§! éprouveront des difficultés.;[This.GetTitledFirstName] konzentriert sich auf Buchhaltung und Verwaltung.\n§GGrüblerische§! und §Ggewissenhafte§! Kinder haben es dabei leicht, während §Rträge§! und §Rüberhebliche§! Kinder Schwierigkeiten haben.;;[This.GetTitledFirstName] centra [This.GetHerHis]s estudios en contabilidad y administración.\n\nA los niños §Gpensativos§! y §Gconcienzudos§! les irá mejor con esta educación, mientras que los niños §RIndolentes§! y §Raltaneros§! encontrarán problemas.;;;;;;;;;x
focus_ed_intrigue_desc;[This.GetTitledFirstNameNoRegnal] focuses [This.GetHerHis] studies on the ways of intrigue and acting in the shadows.\n§GPlayful§! and §GFussy§! children will do better with this education, while §RRowdy§! and §RAffectionate§! children will be hampered.\nA child's §YLearning§! skill is the primary attribute that effects education outcome.\n;[This.GetTitledFirstName] concentre ses études sur les intrigues et l'art de manœuvrer dans les ombres.\nLes enfants §Gespiègles§! et §Gpointilleux§! s'en sortiront mieux avec cette éducation, alors que les enfants §Rchahuteurs§! et §Rtendres§! éprouveront des difficultés.;[This.GetTitledFirstName] konzentriert sich auf Intrige und die Sphäre des Verborgenen.\n§GVerspielte§! und §Gpingelige§! Kinder haben es dabei leicht, während §Rrauflustige§! und §Rherzliche§! Kinder Schwierigkeiten haben.;;[This.GetTitledFirstName] centra [This.GetHerHis]s estudios en las formas de intriga y actuar en las sombras.\nA los niños §Gjuguetones§! y §Gquisquillosos§! les irá mejor con esta educación, mientras que los niños §RRuidosos§! y §Rafectuosos§! encontrarán problemas.;;;;;;;;;x
focus_ed_learning_desc;[This.GetTitledFirstNameNoRegnal] focuses [This.GetHerHis] studies on learning, philosophy and religion.\n§GTimid§! children and §GIdolizers§! will do better with this education, while §RBrooding§! and §RPlayful§! children will be hampered.\nA child's §YLearning§! skill is the primary attribute that effects education outcome.\n;[This.GetTitledFirstName] concentre ses études sur la connaissance, la philosophie et la religion.\nLes enfants §Gtimides§! et §Gidolâtres§! s'en sortiront mieux avec cette éducation, alors que les enfants §Rsongeurs§! et §Respiègles§! éprouveront des difficultés.;[This.GetTitledFirstName] konzentriert sich auf Philosophie, Religion und Bildung.\n§GZaghafte§! und §Gmanipulierbare§! Kinder haben es dabei leicht, während §Rgrüblerische§! und §Rverspielte§! Kinder Schwierigkeiten haben.;;[This.GetTitledFirstName] centra [This.GetHerHis]s estudios en aprender filosofía y religión.\nLos niños\n§GTimidos§!y §GAdoradores les irá mejor con esta educación, mientras que los niños §RMelancólicos§! y §RJuguetonesn§! encontrarán problemas.;;;;;;;;;x
EVTDESC20101;[Root.PrimaryTitle.GetFOA], my mission to [FromFrom.Location.GetName] has so far been a success! During my visit to the court of [From.GetTitledFirstNameWithDynastyAndTitle], I seem to have managed to make [From.GetHerHim] understand what a benevolent and peaceful ruler you really are. [From.GetSheHeCap] sends [From.GetHerHis] regards.\n\nYour humble [FromFrom.GetJobTitle],\n[FromFrom.GetTitledFirstNameWithDynasty];M[Root.GetOnA][Root.GetLordLady],\nMa mission ?[FromFrom.Location.GetName] est un succ?? Lors de ma visite ?la Cour de [From.GetBestName], j'ai r?ssi ?lui faire comprendre que vous r?nez avec bienveillance, et [From.GetIlElle] vous transmet son bon souvenir.\n\nVotre humble [Root.GetMyChancellorName],\n[Root.job_chancellor.GetTitledFirstName];Mein Lehnsherr, meine Mission in [FromFrom.Location.GetName] ist bislang ein Erfolg! W?rend meines Besuches am Hof von [From.GetBestName] scheine ich [From.GetHerHim] ?erzeugt zu haben, dass Ihr ein g?iger und frommer Herrscher seid, und [From.GetSheHe] ?ermittelt [From.GetHerHis] besten Gr?e.\n\nEuer ergebener [Root.GetMyChancellorName],\n[Root.job_chancellor.GetTitledFirstName];;?i se?r, mi misi? a [FromFrom.Location.GetName] ha sido un ?ito! Durante mi visita a la corte de [From.GetBestName], logr?que entendiera lo ben?olo y pac?ico que eres como gobernante y env? sus saludos.\n\nTu humilde [Root.GetMyChancellorName],\n[Root.job_chancellor.GetTitledFirstName];;;;;;;;;x
78001.d;[Root.PrimaryTitle.GetFOA], my mission to improve your good name has so far been a success! During a visit to the court of [statecraft_target.GetTitledFirstNameWithDynastyAndTitle], I seem to have managed to make [statecraft_target.GetHerHim] understand what a benevolent and peaceful ruler you really are. [statecraft_target.GetSheHeCap] sends [statecraft_target.GetHerHis] regards.\n\nYour humble [FromFromFrom.GetJobTitle],\n[FromFromFrom.GetTitledFirstNameWithDynasty];M[Root.GetOnA][Root.GetLordLady],\nMa mission à [statecraft_target.Location.GetName] est un succès ! Lors de ma visite à la Cour de [statecraft_target.GetBestName], j'ai réussi à lui faire comprendre que vous régnez avec bienveillance. [statecraft_target.GetIlElleCap] vous transmet son bon souvenir.\n\nVotre humble [Root.GetMyChancellorName],\n[Root.job_chancellor.GetTitledFirstName];Mein Lehnsherr, meine Mission in [FromFrom.Location.GetName] ist bislang ein Erfolg! Während meines Besuches am Hof von [From.GetBestName] scheine ich [From.GetHerHim] überzeugt zu haben, dass Ihr ein gütiger und frommer Herrscher seid, und [From.GetSheHe] übermittelt die besten Grüße.\n\nEuer ergebener [Root.GetMyChancellorName]\n\n[Root.job_chancellor.GetTitledFirstName];;¡Mi señor/a, la misión en [FromFrom.Location.GetName] ha sido un éxito! Durante mi visita a la corte de [From.GetBestName], logré que entendiera tus intenciones benévolas y pacíficas como gobernante y envía sus saludos.\n\nTu humilde [Root.GetMyChancellorName]:\n[Root.job_chancellor.GetTitledFirstName];;;;;;;;;x
78001.d2;[Root.PrimaryTitle.GetFOA], you sent me out to spread word of your good nature and wise rule, a mission in which I have succeeded. You are now more popular among your subjects, and more highly regarded amongst your peers.\n\nYour humble [From.GetJobTitle],\n[From.GetTitledFirstNameWithDynasty];M[Root.GetOnA] [Root.GetLordLady] lige, vous m'avez envoyé diffuser l'information de votre bonté et de votre règne sage. Cependant, je ne peux pas trouver de souverain qui ne vous tienne pas déjà en très haute estime. Je vous sollicite donc pour une nouvelle affectation.\n\nVotre humble [Root.GetMyChancellorName],\n[Root.job_chancellor.GetTitledFirstName];Mein Lehnsherr, Ihr habt mich ausgesandt, das Wissen um Eure Güte und Eure weise Regentschaft zu verbreiten, doch ich vermag keinen Herrscher zu finden, der Euch nicht bereits höchsten Respekt zollt. Ich bitte Euch um eine neue Aufgabe.\n\nErgebenst\n\n[Root.GetMyChancellorName],\n[Root.job_chancellor.GetTitledFirstName];;Me enviaste a extender la palabra sobre tu bondad y justicia, pero no logro encontrar a ningún gobernante que no te tenga ya en la más alta estima. Te ruego que me asignes otra misión.\n\nTu humilde [Root.GetMyChancellorName],\n[Root.job_chancellor.GetTitledFirstName];;;;;;;;;x
EVTDESC20216;[Root.PrimaryTitle.GetFOA], I write to you with bad news from [From.Location.GetName]. My efforts to squeeze some extra taxes out of the population have met with resistance, and the peasants are arming themselves. I fear we might have a revolt on our hands here soon.\n\nYour humble [From.GetJobTitle],\n[From.GetTitledFirstNameWithDynasty];M[Root.GetOnA][Root.GetLordLady],\nJe vous écris pour vous faire part d'une mauvaise nouvelle en provenance de [From.Location.GetName]. Mes efforts visant à percevoir davantage d'impôts auprès de la population se sont heurtés à une certaine résistance et les paysans s'arment. Je crains que la révolte ne gronde.\n\nVotre humble intendant,\n[From.GetTitledName];Mein Lehnsherr, ich sende Euch schlechte Nachrichten aus [From.Location.GetName]. Meine Versuche, ein paar Sondersteuern aus der dortigen Bevölkerung zu quetschen, sind auf Widerstand gestoßen, und die Bauern bewaffnen sich nun. Ich fürchte, wir könnten dort bald einer Revolte ins Auge sehen.\n\nEuer ergebener Verwalter,\n[From.GetTitledName];;Mi señor, le escribo con malas noticias desde [From.Location.GetName]. Mis esfuerzos por conseguir más impuestos de los habitantes de [Root.Location.GetName] encuentran resistencia, y los campesinos se están organizando. Me temo que pronto tendremos una rebelión entre manos.\n\nSu humilde [Root.GetMyTreasurerName],\n[From.GetTitledName];;;;;;;;;x
EVTDESC20292;[Root.PrimaryTitle.GetFOA], I write to you with shocking news! [FromFrom.GetTitledFirstNameWithDynasty] tried to have me assassinated to make sure I wouldn't discover [FromFrom.GetHerHis] plot to [FromFrom.GetPlot].\n\nYour humble [From.GetJobTitle],\n[From.GetTitledFirstNameWithDynasty];M[Root.GetOnA][Root.GetLordLady],\nJe vous écris pour vous annoncer une nouvelle confondante. [FromFrom.GetTitledName] a tenté de me faire assassiner afin que je ne dévoile pas au grand jour son plan visant à [FromFrom.GetPlot].\n\nVotre humble maître-espion,\n[From.GetTitledName];Meine Hoheit,\nIch schreibe Euch und bringe schockierende Nachrichten! [FromFrom.GetTitledName] hat versucht, mich zu beseitigen, um zu verhindern dass ich [FromFrom.GetHerHis] Plan entdecke: [FromFrom.GetPlot].\n\nEuer untergebener Meisterspion,\n[From.GetTitledName];;Mi señor, \n¡Me dirijo a usted con una horribles noticias! [FromFrom.GetTitledName] intentó asesinarme para asegurarse de que no descubriría [FromFrom.GetHerHis] complot para [FromFrom.GetPlot]. \n\nVuestro humilde maestro de espías, \n[From.GetTitledName];;;;;;;;;x
EVTDESC20295;[Root.PrimaryTitle.GetFOA], whilst in [From.Location.GetName] I have uncovered rumours of a plot! [FromFrom.GetTitledFirstNameWithDynasty] is apparently plotting to [FromFrom.GetPlot].\n\nYour humble [From.GetJobTitle],\n[From.GetTitledFirstNameWithDynasty];;;;;;;;;;;;;x
DEATH_BATTLE;died in battle against the forces of $KILLER$;est mort[GetNoneE] dans une bataille contre $KILLER$;starb im Kampf gegen $KILLER$;;murió en la batalla contra $KILLER$;;;;;;;;;x
EVTDESC242;Alas! During the Battle of [Root.Location.GetName], you have been slain by the enemy!;Hélas ! [Root.GetBestName] a perdu la vie, non sans bravoure, sur le champ de bataille.;Wehe! [Root.GetBestName] fiel tapfer auf dem Feld der Ehre.;;¡Qué desgracia! [Root.GetBestName] ha muerto con valor en el campo de batalla.;;;;;;;;;x
EVTDESC243;You have received a nasty wound whilst fighting in the Battle of [Root.Location.GetName].;[Root.GetBestName] sort du combat avec des blessures.;[Root.GetBestName] wurde im Schlachtengetümmel verwundet.;;[Root.GetBestName] fue herido en el fragor de la batalla.;;;;;;;;;x
EVTDESC244;Whilst fighting in the Battle of [Root.Location.GetName] you have suffered a grievous injury, inflicted by a valiant foeman.;Un vaillant ennemi a mutilé [Root.GetBestName] lors du combat.;[Root.GetBestName] wurde in der Schacht von einem tapferen Feind verstümmelt.;;[Root.GetBestName] fue mutilado en combate por un valiente enemigo.;;;;;;;;;x
EVTDESC245;You have received a crushing blow to the head during the Battle of [Root.Location.GetName], and will not stir from your comatose state.;[Root.GetBestName] ne se remettra pas du violent coup à la tête qu'[From.GetSheHe] a reçu au combat.;[Root.GetBestName] erlitt einen schrecklichen Schlag an den Kopf und rührt sich nun nicht mehr.;;[Root.GetBestName] recibió en combate un fuerte golpe en la cabeza y no abandonará su reposo.;;;;;;;;;x
EVTDESC246;Combat is the best teacher! Whilst leading my forces during the Battle of [Root.Location.GetName], I have become a more proficient commander.;Il n'y a rien de tel que le combat pour apprendre ! [Root.GetBestName] est désormais un commandant plus compétent.;Kampf ist der beste Ausbilder! [Root.GetBestName] ist ein kompetenterer Befehlshaber geworden.;;¡El combate es el mejor maestro! [Root.GetBestName] se ha convertido en un comandante más competente.;;;;;;;;;x
EVTDESC247;You have improved your martial skill while leading troops in the Battle of [Root.Location.GetName].;[Root.GetBestName] a amélioré sa compétence martiale en commandant des troupes au combat.;[Root.GetBestName] hat [Root.GetPossPronoun] Kampfkünste verbessert, während er seine Truppen in der Schlacht anführte.;;[Root.GetBestName] ha mejorado su habilidad marcial mientras mandaba tropas en la batalla.;;;;;;;;;x
EVTDESC248;You and your senior commanders have gained a better understanding of military matters during the Battle of [Root.Location.GetName], and will be able to use this experience in future battles.;Cette bataille nous a permis de mieux comprendre les affaires militaires.;Während dieser Schlacht hat sich unser Verständnis militärischer Belange verbessert.;;En esta batalla hemos aumentado los conocimientos militares.;;;;;;;;;x
EVTDESC249;In the chaos of battle in [Root.Location.GetName], your men managed to corner [From.GetTitledFirstNameWithDynasty]! [From.GetSheHeCap] resisted bravely before they slew [From.GetHerHim].;Dans le chaos de la bataille, vos hommes ont réussi à coincer [From.GetTitledFirstName] ! [From.GetSheHeCap] s'est courageusement défendu[From.GetNoneE] avant d'être occis[From.GetNoneE].;Eure Mannen haben im Kampfgetümmel [From.GetTitledFirstName] gestellt! Tapfer leistete [From.GetSheHe] Widerstand, und dennoch fand [From.GetSheHe] den Tod.;;!En el caos de la batalla, tus hombres logran rodear a [From.GetTitledFirstName]! Resistió valientemente antes de que le mataran.;;;;;;;;;x
EVTDESC270;This battle on the fields [Root.Location.GetName] has shown your true mettle. You are Brave!;Cette bataille a révélé mon vrai courage. Je suis brave !;Diese Schlacht hat meinen wahren Mut bewiesen. Ich bin Tapfer!;;Esta batalla ha mostrado mi verdadero temple. ¡Soy valiente!;;;;;;;;;x
EVTDESC271;Swords are sharp and dangerous. I can lead better from inside my own [Root.GetCapitalHolding].;Les épées, ça coupe et c'est dangereux. Je préfère commander depuis mon château.;Schwerter sind scharf und gefährlich. Aus dem Innern meiner Burg kann ich besser kommandieren.;;Las espadas son afiladas y peligrosas. Puedo dirigir mejor desde dentro del castillo.;;;;;;;;;x
EVTDESC273;Your careful maneuvers in during the Battle of [Root.Location.GetName] have shown your patient nature to everyone.;Les prudentes manœuvres que j'ai orchestrées au cours de cette bataille ont montré à tous combien je peux faire preuve de patience.;Meine vorsichtigen Manöver in dieser Schlacht haben allen unsere geduldige Natur bewiesen.;;Mis cuidadosas maniobras en esta batalla han mostrado a todos nuestra paciencia.;;;;;;;;;x
EVTDESC261;A previously obscure noble has distinguished himself during the Battle of [Root.Location.GetName]. Perhaps I can make use of him...;Un noble s'est distingué au cours de cette bataille. Il pourrait peut-être me servir...;Ein Edelmann hat sich in dieser Schlacht bewährt. Vielleicht kann er mir noch nützlich sein ...;;Un noble ha destacado en esta batalla. Quizá pueda servirme...;;;;;;;;;x
EVTDESC262;During the Battle of [Root.Location.GetName], you fearlessly charged ahead on horseback directly into the enemy ranks. Members of your personal guard riding beside you tumbled off their horses as enemy arrows found their marks, but your charge plowed straight into the enemy skirmishers and your sword ran red with their blood.;Durant la bataille, vous avez chargé à cheval directement sur les lignes ennemies. Bien que des membres de votre garde personnelle qui vous accompagnaient soient tombés sous les flèches adverses, vous réussissez à foncer sur les tirailleurs ennemis et votre épée devient rouge de leur sang.;Ihr stürmt im Kampf, furchtlos auf dem Rücken Eures Pferdes, direkt in die feindliche Frontlinie. Mitglieder Eurer persönlichen Leibwache stürzen an Eurer Seite von ihren Pferden, als feindliche Pfeile ihr Ziel nicht verfehlen, doch Euer Angriff traf die feindlichen Kämpfer mit voller Wucht und Euer Schwert war rot von ihrem Blut.;;Durante la batalla, cargas a caballo sin temor contra las filas enemigas. Miembros de tu guardia personal que cabalgan a tu lado se caen de sus caballos cuando las flechas enemigas encuentran sus marcas, pero cargas arando directamente contra los hostigadores enemigos y tu espada se tiñe de rojo con su sangre.;;;;;;;;;x
EVTDESC263;While riding ahead with your personal guard, you suddenly found yourselves isolated on the [Root.Location.GetName] battlefield and surrounded by enemy soldiers. A violent melee ensued but you gave a good account of yourself and managed to return to the main body of your army in time to lead it to victory.;Alors que vous chevauchez en première ligne accompagné de votre garde personnelle, vous vous rendez soudainement compte que vous êtes isolé sur le champ de bataille, cerné par les soldats ennemis. Une violente mêlée s'ensuit mais vous donnez le meilleur de vous-même et réussissez à retrouver le corps principal de votre armée à temps pour le mener à la victoire.;Als Ihr mit Eurer Leibwache vorausgeritten seid, fandet Ihr Euch auf einmal alleine auf dem Schlachtfeld wieder, von Feinden umzingelt. Ein brutaler Nahkampf folgte, doch Ihr machtet Eurem Namen alle Ehre und konntet rechtzeitig zu Eurer Armee zurückkehren, um sie zum Sieg zu führen.;;Mientras cabalgas con tu guardia personal, de repente os encontráis aislados en el campo de batalla y rodeados de soldados enemigos. Se produce un tumulto violento, pero te das cuenta y logras regresar al cuerpo principal de tu ejército a tiempo de llevarlo a la victoria.;;;;;;;;;x
EVTDESC264;You were in the thick of it during the Battle of [Root.Location.GetName], and your tally of slain enemy soldiers has impressed even the most grizzled sergeants in your army. As you clean the blood splatter off your sword and armor, the men cheer you for the bravery you displayed in securing this victory.;Vous avez participé à la bataille et le nombre de soldats que vous avez tués impressionne même les plus anciens sergents de votre armée. Alors que vous nettoyez les éclaboussures de sang sur votre épée et votre armure, les hommes acclament votre bravoure, bravoure qui a assuré la victoire.;Ihr wart stets mittendrin im Kampf und die Liste Eurer getöteten gegnerischen Soldaten beeindruckte selbst die kampferprobtesten Sergeanten Eurer Armee. Ihr reinigt Eure Rüstung und Eurer Schwert vom Blut, während die Männer um Euch herum, Euch für Eure Tapferkeit und den Sieg bejubeln.;;Estabas metido de lleno en la batalla, y tu recuento de soldados enemigos muertos ha impresionado incluso a los sargentos más curtidos de tu ejército. Al limpiar las salpicaduras de sangre de tu espada y tu armadura, los hombres te vitorean por la valentía demostrada para asegurar esta victoria.;;;;;;;;;x
EVTDESC265;Using your foot as leverage, you pull your sword out of the dead corpse of the last foeman to fall by your hand in the battle. All around you, the men are cheering as the routing enemy soldiers flee in wild panic. Victory has been achieved today on the fields of [Root.Location.GetName], in large part thanks to your heroic efforts!;En vous aidant de votre pied, vous retirez votre épée du cadavre du dernier ennemi que vous avez fait tomber lors de la bataille. Autour de vous, les hommes se réjouissent alors que les derniers soldats adverses se sauvent en courant. C'est la victoire, et en grande partie grâce à vos efforts héroïques !;Mit Eurem Fuß als Hebel zieht Ihr Euer Schwert aus dem toten Körper des letzten Widersachers, der in dieser Schlacht von Euer Hand starb. Um Euch herum jubeln die Männer, als die gegnerischen Soldaten in wilder Panik die Flucht antreten. Der Sieg ist erreicht, nicht zuletzt dank Eurer heroischen Taten!;;Usando tu pie como palanca, sacas tu espada del cadáver del último enemigo que cayó en tus manos en la batalla. A tu alrededor, los hombres vitorean cuando los soldados enemigos huyen, presas del pánico salvaje. ¡Se ha conseguido la victoria, en gran parte gracias a tus esfuerzos heroicos!;;;;;;;;;x
EVTDESC266;Your commanding presence on the battlefield in [Root.Location.GetName] was felt during the recent victory, by friends and foes alike. You bolstered the spirits of the men when it was needed most, and you personally led the final charge that broke the back of the enemy army.;Amis et ennemis ont bien ressenti votre présence autoritaire lors de cette récente victoire sur le champ de bataille. Vous avez donné du courage à vos hommes quand c'était le plus nécessaire et vous avez personnellement mené la dernière charge qui a donné le coup final à l'ennemi.;Eure autoritäre Präsenz auf dem Schlachtfeld war deutlich spürbar bei dem letzten Sieg, sowohl bei Freund als auch bei Feind. Ihr machtet den Männern Mut, als es am notwendigsten war und habt persönlich den finalen Angriff angeführt, der der feindlichen Armee das Genick brach.;;Tu imponente presencia en el campo de batalla se sintió durante la reciente victoria, tanto por amigos como por enemigos. Reforzaste el ánimo de los hombres cuando más se necesitaba, y dirigiste personalmente la carga final que rompió la parte trasera del ejército enemigo.;;;;;;;;;x
EVTDESC267;As the enemy scurries away from the battlefield of [Root.Location.GetName] like frightened rabbits, you wipe the sweat off your brow and watch in silence. It was a hard-fought melee, and you were in the thick of it, personally leading your men to victory. Not only have you won this battle, but also a great deal of respect.;Alors que les soldats ennemis détalent comme des lapins, vous essuyez la sueur de votre front et contemplez la scène en silence. Ce fut une rude mêlée et vous en étiez au cœur, menant vous-même vos hommes à la victoire. Vous n'avez pas seulement gagné la bataille, mais aussi un grand respect.;Als die Feinde wie verschreckte Kaninchen vom Schlachtfeld flüchten, wischt Ihr den Schweiss von Eurer Stirn und beobachtet still. Es war ein harter Nahkampf und Ihr wart mittendrin und führtet Eure Männer persönlich zum Sieg. Ihr habt nicht nur diesen Kampf gewonnen, sondern auch sehr viel Respekt.;;Mientras los enemigos se escabullen lejos del campo de batalla como conejos asustados, te limpias el sudor de tu frente y observas en silencio. Fue un combate cuerpo a cuerpo muy reñido, y tú estabas en el meollo, llevando personalmente a tus hombres a la victoria. No sólo has ganado esta batalla, sino también un gran respeto.;;;;;;;;;x
EVTDESC250;You have been captured by the forces of [From.GetTitledFirstNameWithDynasty] during the lost Battle of [Root.Location.GetName]!;[From.GetBestName] a capturé [Root.GetBestName] lors d'un combat !;[Root.GetBestName] wurde in der Schlacht von [From.GetBestName] gefangengenommen!;;¡[Root.GetBestName] fue capturado en combate por [From.GetBestName]!;;;;;;;;;x
EVTDESC255;There are squeamish people who would say that my use of 'unnecessary' violence during the Battle of [Root.Location.GetName] is appalling. Then I would remind them that this is war and war means that there are no such thing as 'unnecessary violence'.;Des personnes moins cruelles condamneraient fermement mon recours à la violence. Mais j'aimerais leur rappeler qu'on est en guerre et que la guerre est synonyme de violence.;Weniger grausame Leute würden sagen, dass meine übertriebene Gewaltanwendung erschreckend ist. Dann würde ich sie aber daran erinnern, dass wir uns im Krieg befinden und dass es im Krieg keine 'unnötige Gewalt' gibt.;;A la gente menos cruel le parecería espantoso usar tanta violencia innecesaria. Yo les recordaría que se trata de una guerra, lo cual significa que no existe eso de 'violencia innecesaria'.;;;;;;;;;x
EVTDESC256;I interrupted my [From.GetJobTitle] [From.GetTitledFirstNameWithDynasty] while [From.GetSheHe] was interrogating a prisoner captured during the Battle of [From.Location.GetName], ostensibly to find out where our enemy would attack next. The soldier who brought me to [From.GetTitledFirstNameNoRegnal] accused [From.GetHerHim] of using unnecessary violence and looked at me for support.;J'ai interrompu le maréchal [From.GetTitledFirstName] alors qu'[From.GetSheHe] interrogeait un prisonnier pour connaître la prochaine cible de l'ennemi. Le soldat qui m'avait conduit(e) à [From.GetTitledFirstName] l'accusait de violence gratuite et avait demandé mon soutien.;Ich unterbrach [From.GetTitledFirstName] beim Verhör eines Gefangenen, von dem [From.GetSheHe] wissen wollte, wo der Feind als nächstes angreifen würde. Der Soldat, der mich zu [From.GetTitledFirstName] geführt hatte, beschuldigte [From.GetHerHim] der Anwendung unnötiger Gewalt. Er sah mich um Unterstützung bittend an.;;Interrumpí al mariscal [From.GetTitledFirstName] mientras interrogaba a un prisionero sobre el lugar del próximo ataque enemigo. El soldado que me llevó hasta [From.GetTitledFirstName] le acusó de utilizar violencia innecesaria y me pidió ayuda.;;;;;;;;;x
EVTDESC96500;Thanks to your leadership during the Battle of [Root.Location.GetName], your experience in matters of war has increased, and there are many things you will do differently in future battles. What will you focus on?;Votre expérience martiale s'est accrue et désormais, votre comportement sur le champ de bataille s'en verra modifié. Sur quoi vous concentrerez-vous ?;Ihr habt viel Erfahrung in allen Bereichen der Kriegsführung gesammelt und werdet diese Kenntnisse in künftigen Schlachten anwenden können. Auf welchen Bereich wollt Ihr Euch besonders konzentrieren?;;Ha aumentado tu experiencia en temas de guerra y hay muchas cosas que podrás hacer de otra forma en futuras batallas.  ¿En qué te enfocarás?;;;;;;;;;x
EVTDESC77000;Fish! Fresh fish straight from the river!' 'Fruits and vegetables, a day or two old!\n\nA [Root.Religion.GetPriestTitle] in [Root.GetName] is not happy about the merchants setting up stalls in all the squares outside the [Root.GetHouseOfWorship]s, and demands that it be forbidden.;« Poisson frais ! Directement sorti du fleuve ! » « Fruits et légumes, cueillis il y a deux jours tout au plus ! »\n\nLe clergé de [Root.GetName] est mécontent des marchands qui ouvrent leurs étals sur toutes les places d'églises et demande que ce soit interdit.;'Fisch! Frischer Fisch direkt aus dem Fluss!' - 'Obst und Gemüse, nur ein oder zwei Tage alt!'\n\nDer Klerus in [Root.GetName] ist erbost über all die Handelsmänner mit ihren Verkaufsständen auf allen Kirchplätzen und verlangen ein Handelsverbot.;;¡Pescado! ¡Pescado fresco del río! '¡Frutas y verduras, recién cogidas en la huerta!'\n\nAl clero de [Root.GetName] no le gusta que los mercaderes instalen puestos en las plazas de la iglesia y solicita su prohibición.;;;;;;;;;x
EVTDESC77001;The merchants of [Root.GetName] demand that the civic laws should supercede religious laws. A [Root.Religion.GetPriestTitle] is protesting however, declaring that the law of [Root.Religion.GetName] should supercede the law of the town.;Les citadins de [Root.GetName] demandent que les lois de la cité priment les lois canoniques, mais les évêques protestent, déclarant que la loi de l'Église devrait supplanter la loi de la cité.;Die Bürger von [Root.GetName] verlangen, dass ihr Stadtrecht höher eingestuft wird als das kirchlich-kanonische Recht. Der Bischof aber protestiert, er verlangt eine umgekehrte Einstufung.;;La burguesía de [Root.GetName] solicita que el fuero de la villa prevalezca sobre la ley canónica, pero los obispos se oponen, reclamando que la ley de la iglesia debe prevalecer sobre la de la villa.;;;;;;;;;x
EVTOPTA77001;I agree with the merchants;Je suis d'accord avec les citadins;Ich stimme den Bürgern zu;;Estoy de acuerdo con la burguesía;;;;;;;;;x
EVTDESC77003;They come from smaller farms, some with a goat or a pig to sell, some with only a bushel of vegetables or fruits, others with a whole wagon of produce. The peasants sell their produce inside the walls of [Root.GetName], but the wealthy merchants protest against it and want to forbid it.;Ils viennent de fermes plus petites, certains avec une chèvre ou un cochon à vendre, certains avec un panier de fruits ou de légumes uniquement, et d'autres avec une charrette pleine de produits. Les paysans vendent leurs produits dans les murs de la cité, mais les citadins ne sont pas d'accord et veulent interdire cette pratique.;Sie kommen von kleinen Bauernhöfen, einige haben eine Ziege oder ein Schwein zu verkaufen, andere nur ein Bündel Obst oder Gemüse, wieder andere einen ganzen Wagen voll Güter. Die Bauern verkaufen ihre Erträge innerhalb der Stadtmauern, doch die Bürger protestieren dagegen und wollen ein Verbot erwirken.;;Vienen de granjas pequeñas, unos con una cabra o un cerdo para vender, otros con tan solo un canasto de verduras o frutas y otros con un vagón entero de mercancías. Los campesinos venden sus productos dentro de las murallas de la ciudad, pero la burguesía se queja y quiere prohibirlo.;;;;;;;;;x
