#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTOPTAplot_events_CK2plus.40;Nothing but lies and slander;Rien que des mensonges et des calmonies. ;;;Nada más que mentiras y calumnias.;;;;;;;;;x
EVTDESCplot_events_CK2plus.41;[From.GetTitledFirstName] tried to have me arrested for treason by slipping fabricated 'evidence' under [Root.Liege.GetTitledFirstName]'s bedroom door, but fortunately [Root.Liege.GetSheHe] caught [From.GetHerHis] agent in the act and now it is [From.GetTitledFirstName] that stands accused of treason.;"[From.GetTitledFirstName] a tenté de me faire arrêter pour trahison en glissant des ""preuves"" sous la porte des appartements de [Root.Liege.GetTitledFirstName], mais heureusement [Root.Liege.GetSheHe] a attrapé son agent en flagrant délit et c'est maintenant [From.GetTitledFirstName] qui est accusé de trahison. ";;;"[From.GetTitledFirstName] que me arresten por traición deslizando ""pruebas"" por debajo de la puerta de los aposentos de [Root.Liege.GetTitledFirstName], pero afortunadamente, atraparon a su agente con las manos en la masa y ha sido [From.GetTitledFirstName] quien ha sido acusado de traición";;;;;;;;;x
EVTOPTAplot_events_CK2plus.41;The bastard!;Vil bâtard !;;;Vil bastardo!;;;;;;;;;x
EVTDESCplot_events_CK2plus.42;My agent was caught in the act of slipping the fabricated evidence under [From.Liege.GetTitledFirstName]'s bedroom door. Even worse, my involvement was revealed during questioning and now I am the one that stands accused of treason.;Mon agent a été attrapé en flagrant délit alors qu'il glissait la fausse preuve sous la porte des appartements de [From.Liege.GetTitledFirstName]. Pire encore, mon implication dans l'affaire a été révélée durant l'interrogatoire et c'est désormais moi qui suis accusé de trahison. ;;;Mi agente fue atrapado con las manos en la masa mientras deslizaba la prueba falsa por debajo de la puerta de los aposentos de [From.Liege.GetTitledFirstName]. Peor aún, mi implicación en este asunto fue revelada durante el interrogatorio y ahora es a mí al que se le acusa de traición.;;;;;;;;;x
EVTOPTAplot_events_CK2plus.42;This is bad!;Voilà qui est mauvais !;;;Que mal!;;;;;;;;;x
EVTDESCplot_events_CK2plus.43;As I was preparing to sleep, I heard a scuffle from outside my bedroom door. Rushing outside, I found that my guards had seized a cloaked man as he was attempting to slip some documents into the room. Under questioning, he revealed that he was working for [FromFrom.GetTitledFirstName] and that the documents were fabricated evidence intended to turn me against my vassal [From.GetTitledFirstName].;Alors que j'allais me coucher, j'ai entendu du bruit provenant de derrière la porte de mes appartements. Sortant dans le couloir, j'ai découvert que mes gardes avaient appréhendé un homme encapuchonné alors qu'il tentait de glisser quelques documents dans ma chambre. Sous la question, il a avoué qu'il travaillait pour [FromFrom.GetTitledFirstName] et que les documents étaient de fausses preuves ayant pour but d'accuser mon vassal [From.GetTitledFirstName].;;;Cuando me iba dormir, escuché un ruido proviniente de detrás de la puerta de mis aposentos. Al salir al pasillo, descubrí que mis guardias habían detenido a un hombre encapuchado mientras intentaba deslizar algunos documentos por debajo de mi puerta. En el interrogatorio, reveló que trabajaba para [FromFrom.GetTitledFirstName] y que los documentos eran pruebas falsas con el objetivo de acusar a mi vasallo [From.GetTitledFirstName].;;;;;;;;;x
EVTOPTAplot_events_CK2plus.43;[FromFrom.GetTitledFirstName] is the true traitor!;[FromFrom.GetTitledFirstName] est le véritable traître !;;;[FromFrom.GetTitledFirstName] es el verdadero traidor!;;;;;;;;;x
EVTDESC1007060;My co-conspirators have fabricated evidence of [Root.PlotTarget.GetTitledFirstName]'s blasphemous conduct and sheltering of heretics. The letter will be sent to [Root.PlotTarget.RelHead.GetTitledFirstName] who will be forced to excommunicate [Root.PlotTarget.GetHerHim].;Mes co-conspirateurs ont fabriqué des preuves accusant [Root.PlotTarget.GetTitledFirstName] d'avoir une conduite blasphématoire et de protéger des hérétiques. Une missive va être envoyée à [Root.PlotTarget.RelHead.GetTitledFirstName] qui sera forcé de l'excommunier. ;;;Mis cómplices han fabricado pruebas acusando a [Root.PlotTarget.GetTitledFirstName] de tener una conducta blasfema y proteger a los herejes. Una carta será enviada a [Root.PlotTarget.RelHead.GetTitledFirstName] para forzarlo a excomulgarlo.;;;;;;;;;x
EVTOPTA1007060;God will be my judge!;Les Dieux seront mes juges !;;;Los Dioses serán mis jueces!;;;;;;;;;x
EVTOPTB1007060;Wait for a better opportunity;Attendre une meilleure occasion;;;Esperar una mejor ocasión;;;;;;;;;x
EVTDESC1007061;Word has reached me that [Root.RelHead.GetTitledFirstName] has had me excommunicated based on fabricated 'evidence' of blasphemy and heresy sent to [Root.RelHead.GetHerHim] in an anonymous letter.;"J'ai appris que [Root.RelHead.GetTitledFirstName] m'avait fait excommuné grâce à des ""preuves"" prouvant mon hérésie et mes blasphèmes qu'il a reçues via une lettre anonyme. ";;;"Me he enterado que [Root.RelHead.GetTitledFirstName] me ha excomulgado debido a ""pruebas"" que demuestran mi herejía y mis blasfemias que recibió en una carta anónima.";;;;;;;;;x
EVTOPTA1007061;God preserve me from these lies!;Que les Dieux me préservent de ces mensonges !;;;Los Dioses me protejan de tales mentiras!;;;;;;;;;x
EVTDESC1007062;[From.RelHead.GetTitledFirstName] was completely fooled by the fabricated evidence of [From.GetTitledFirstName]'s heresy. [From.GetTitledFirstName] has been excommunicated and interdict has been placed on [From.GetHerHis] lands.;[From.RelHead.GetTitledFirstName] a été complètement dupé par les preuves fabriquées accusant [From.GetTitledFirstName] d'hérésie. [From.GetTitledFirstName] a été excommunié et l'interdit a été décrété sur ses terres. ;;;[From.RelHead.GetTitledFirstName] ha sido completamente engañado por las pruebas fabricadas acusando a [From.GetTitledFirstName] de herejía. [From.GetTitledFirstName] ha sido excomulgado y se ha declarado un interdicto en sus tierras. ;;;;;;;;;x
EVTOPTA1007062;It was the will of God!;Tel était la volonté des Dieux !;;;Es la voluntad de los Dioses!;;;;;;;;;x
EVTDESC1007064;Word has reached me that [Root.RelHead.GetTitledFirstName] has received fabricated 'evidence' of blasphemy and heresy sent to [Root.RelHead.GetHerHim] in an anonymous letter. Fortunately, [Root.RelHead.GetSheHe] dismissed it as the slanderous lie it is.;"J'ai appris que [Root.RelHead.GetTitledFirstName] a reçu des ""preuves"" m'accusant de blasphème et d'hérésie par le biais d'une lettre anonyme. Heureusement, [Root.RelHead.GetSheHe] a écarté ces ignominies et les a considéré comme de calmonieux mensonges. ";;;"Me he enterado que [Root.RelHead.GetTitledFirstName] me ha excomulgado debido a ""pruebas"" que demuestran mi herejía y mis blasfemias que recibió en una carta anónima. Afortunadamente, [Root.RelHead.GetSheHe] ha descartado esas ignominias y las ha considerado mentiras calumniosas. ";;;;;;;;;x
EVTOPTA1007064;God looks after the faithful;Les dieux reconnaîssent les leurs !;;;Los Dioses reconocen a los suyos!;;;;;;;;;x
EVTDESC1007065;[From.RelHead.GetTitledFirstName] refused to believe the fabricated evidence of [From.GetTitledFirstName]'s heresy. Although the scheme has failed, at least there is no evidence of my involvement.;[From.RelHead.GetTitledFirstName] a refusé de croire les preuves fabriquées accusant [From.GetTitledFirstName] d'hérésie. Bien que le complot ait échoué, au moins n'y a-t-il aucune preuve quant à mon implication.;;;[From.RelHead.GetTitledFirstName] no se creyó las pruebas fabricadas acusando a [From.GetTitledFirstName] de herejía. A pesar de que el complot fracasó, al menos no hay ninguna prueba que indique mi implicación.;;;;;;;;;x
EVTOPTA1007065;Ok;D'accord;;;Ok;;;;;;;;;x
EVTDESC1007067;Word has reached me that [Root.RelHead.GetTitledFirstName] has received fabricated 'evidence' of blasphemy and heresy sent to [Root.RelHead.GetHerHim] in an anonymous letter. However, [Root.RelHead.GetSheHe] not only refused to believe it, but had the messenger questioned until he revealed the sender of the letter.;"J'ai appris que [Root.RelHead.GetTitledFirstName] a reçu des ""preuves"" m'accusant de blasphème et d'hérésie par le biais d'une lettre anonyme. Cependant, [Root.RelHead.GetSheHe] n'en n'a pas cru un traître mot - mieux, il a soumis le messager à la question jusqu'à ce qu'il révèle qui était l'expéditeur de la missive. ";;;"Me he enterado de que [Root.RelHead.GetTitledFirstName] ha recibido ""pruebas"" acusándome de blasfemia y herejía en una carta anónima. Sin embargo, no ha creído ni una palabra y además, está preguntando al mensajero sobre el remitente de la carta.";;;;;;;;;x
EVTOPTA1007067;It was sent by [From.GetTitledFirstName]!;Elle a été envoyée par [From.GetTitledFirstName] !;;;Ha sido enviada por [From.GetTitledFirstName]!;;;;;;;;;x
EVTDESC1007068;[From.RelHead.GetTitledFirstName] refused to believe the fabricated evidence of [From.GetTitledFirstName]'s heresy. What's worse, [From.RelHead.GetSheHe] had the messenger questioned and found out that I sent it! I have been censured for my 'unseemly scheming' and [From.GetTitledFirstName] knows that I tried to have [From.GetHerHim] excommunicated.;"[From.RelHead.GetTitledFirstName] a refusé de croire les preuves fabriquées accusant [From.GetTitledFirstName] d'hérésie. Pire encore, [From.RelHead.GetSheHe] a soumis le messager à la question et a découvert que j'étais l'expéditeur de la missive! J'ai été publiquement dénoncé pour mon ""invraisemblable complot"" et désormais [From.GetTitledFirstName] sait que j'ai tenté de le faire excommunié. ";;;[From.RelHead.GetTitledFirstName] no se ha creído las pruebas fabricadas acusando a [From.GetTitledFirstName] de herejía. Peor aún, [From.RelHead.GetSheHe] interrogó al mensajero y ha descuberto que yo era el remitente de la carta! He sido públicamente denunciado por mi comportamiento impropio y ahora [From.GetTitledFirstName] sabe que he intentado hacer que le excomulguen. ;;;;;;;;;x
EVTOPTA1007068;This will not help my reputation...;Cela ne va pas aider ma réputation…;;;Esto no ayudará a mi reputación...;;;;;;;;;x
EVTDESCplot_events_CK2plus.45;My co-conspirators have fabricated evidence that [Root.PlotTarget.GetTitledFirstName] is planning a revolt against me. I will circulate the evidence among my vassals so that they will support my actions against the 'traitor'.;"Mes co-conspirateurs ont fabriqué des preuves accusant [Root.PlotTarget.GetTitledFirstName] d'ourdir une révolte contre moi. Je vais faire circuler ces preuves chez mes vassaux pour qu'ils soutiennent mon action contre le ""traître"". ";;;"Mis cómplices han fabricado pruebas acusando a [Root.PlotTarget.GetTitledFirstName] de urdir una revuelta contra mí. Las haré circular entre mis vasallos para que apoyen mi acción contra el ""traidor"".";;;;;;;;;x
EVTOPTAplot_events_CK2plus.45;I will see [Root.PlotTarget.GetHerHim] disgraced!;Je vais le voir disgracié !;;;Lo veré caer en desgracia!;;;;;;;;;x
EVTOPTBplot_events_CK2plus.45;Wait for a better opportunity;Attendre une meilleure occasion;;;Esperar una mejor ocasión;;;;;;;;;x
EVTDESCplot_events_CK2plus.46;Word has reached me that documents indicting me in a plan to revolt against [Root.Liege.GetTitledFirstName] have been circulating through the realm. Though the evidence is obviously a forgery, it seems almost everyone in the realm has been fooled by it, and I fear I am about to be arrested.;J'ai appris que des documents m'accusant d'ourdir une révolte contre [Root.Liege.GetTitledFirstName] circulaient dans le royaume. Bien que ces preuves soient manifestement fabriquées, il semble que presque tout le monde dans le royaume ait été dupé et je crains d'être bientôt arrêté.;;;Me he enterado que unos documentos me acusan de urdir una revuelta contra [Root.Liege.GetTitledFirstName] circulan por el Reino. Aunque está claro que las pruebas sean falsas, parece que todo el mundo ha sido engañado y me temo que intentarán arrestarme.;;;;;;;;;x
EVTOPTAplot_events_CK2plus.46;Who could have done such a thing?!;Qui a bien pu faire une chose pareille ?;;;Quién ha podido hacer una cosa de ese estilo?;;;;;;;;;x
EVTDESCplot_events_CK2plus.47;My vassals were completely fooled by the fabricated evidence of [From.GetTitledFirstName]'s treason. I am now free to act against [From.GetHerHim].;Mes vassaux ont été complètement dupés par les preuves fabriquant accusant [From.GetTitledFirstName] de trahison. Je suis désormais libre d'agir à ma guise.;;;Mis vasallos han sido totalmente engañados por las pruebas falsas que acusan a [From.GetTitledFirstName] de traición. Soy libre de actuar como me plazca.;;;;;;;;;x
EVTOPTAplot_events_CK2plus.47;Excellent!;Excellent !;;;Excelente!;;;;;;;;;x
EVTDESCplot_events_CK2plus.48;Word has reached me that documents indicting me in a plan to revolt against [Root.Liege.GetTitledFirstName] have been circulating through the realm. Fortunately most of the lords of the realm have dismissed it as the forgery it is.;J'ai appris que des documents m'accusant d'ourdir une révolte contre [Root.Liege.GetTitledFirstName] circulaient dans le royaume. Heureusement la plupart des lords du royaume les ont rejetés et considérés comme les faux qu'ils sont. ;;;Me he enterado que unos documentos me acusan de urdir una revuelta contra [Root.Liege.GetTitledFirstName] circulan por el Reino. Afortunadamente la mayor parte de los Señores del Reino no los tomaron en serio y los consideraron falsos como lo son en realidad.;;;;;;;;;x
EVTOPTAplot_events_CK2plus.48;I wonder who was behind it...;Je me demande bien qui peut être derrière tout ça…;;;Me pregunto quien puede estar detrás de todo esto...;;;;;;;;;x
EVTDESCplot_events_CK2plus.49;My vassals refused to believe the fabricated evidence of [From.GetTitledFirstName]'s treason. Although the scheme has failed, at least there is no evidence of my involvement.;Mes vassaux ont refusé de croire les preuves accusant [From.GetTitledFirstName] de trahison. Bien que le complot ait échoué, au moins n'y a-t-il aucune preuve de mon implication. ;;;Mis vasallos se han negado a creer las pruebas que acusan a [From.GetTitledFirstName] de traición. A pesar de que el complot ha fracasado, al menos no hay ninguna prueba de mi implicación.;;;;;;;;;x
EVTOPTAplot_events_CK2plus.49;It could have been worse...;Cela aurait pu être pire…;;;Podría haber sido peor...;;;;;;;;;x
EVTDESCplot_events_CK2plus.50;Word has reached me that documents indicting me in a plan to revolt against [Root.Liege.GetTitledFirstName] have been circulating through the realm. One of the forger's agents was caught while handing out the forgeries on my lands, and questioning revealed him to be working for [Root.Liege.GetTitledFirstName].;J'ai appris que des documents m'accusant d'ourdir une révolte contre [Root.Liege.GetTitledFirstName] circulaient dans le royaume. L'un des agents du faussaire a été pris alors qu'il distribuait ces contrefaçons sur mes terres. Sous la question il a avoué qu'il travaillait pour [Root.Liege.GetTitledFirstName].;;;Me he enterado que unos documentos me acusan de urdir una revuelta contra [Root.Liege.GetTitledFirstName] circulan por el Reino. Uno de los agentes del falsificador fue detenido mientras distribuía estas falsificaciones en mis tierras. En el interrogatorio reveló que trabajaba para [Root.Liege.GetTitledFirstName].;;;;;;;;;x
EVTOPTAplot_events_CK2plus.50;The bastard!;Vil bâtard !;;;Vil bastardo!;;;;;;;;;x
EVTDESCplot_events_CK2plus.51;My vassals refused to believe the fabricated evidence of [From.GetTitledFirstName]'s treason. What's worse, one of my agents was caught and questioned while circulating the forgeries, and my involvement has been revealed to all my vassals.;Mes vassaux ont refusé de croire les preuves accusant [From.GetTitledFirstName] de trahison. Pire, l'un de mes agents a été arrêté alors qu'il faisait circuler les contrefaçons et tous mes vassaux sont désormais au courant de mon implication dans l'affaire. ;;;Mis vasallos se han negado a creer las pruebas que acusan a [From.GetTitledFirstName] de traición. Peor aún, uno de mis agentes fue detenido mientras distribuía las falsificaciones y ahora todos mis vasallos están al corriente de mi implicación en el asunto.;;;;;;;;;x
EVTOPTAplot_events_CK2plus.51;My reputation is ruined!;Ma réputation est ruinée !;;;Mi reputación está arruinada!;;;;;;;;;x
EVTDESC110060;I am dying, but my heir will continue the battle and bring this civil war to a successful conclusion.;Je me meurs, mais mon héritier continuera le combat et remportera cette guerre civile.;Ich sterbe, aber mein Erbe wird die Schlacht fortsetzen und diesen Bürgerkrieg zu einem erfolgreichen Abschluss zu bringen.;;Me estoy muriendo, pero mi heredero continuará el combate y vencerá esta guerra civil.;;;;;;;;;x
EVTOPTA110060;I pass the torch;Je passe le flambeau;Ich pass die Fackel;;Paso el testigo;;;;;;;;;x
EVTDESC110061;[From.GetTitledFirstName] has passed away and I have pledged my support to [From.GetHerHis] successor, [Root.Liege.GetTitledFirstName].;[From.GetTitledFirstName] est décédé et j'ai renouvellé mon soutien à son successeur, [Root.Liege.GetTitledFirstName].;;;[From.GetTitledFirstName] ha muerto y reiteromi apoyo a su sucesor, [Root.Liege.GetTitledFirstName].;;;;;;;;;x
EVTTOOLTIP110044;Supports [This.GetHerHis] new liege in the civil war;Soutient son nouveau suzerain dans la guerre civile ;;;Apoya a su nuevo Señor en la guerra civil;;;;;;;;;x
EVTDESC210037;[From.GetTitledName] has taken advantage of the chaos of the civil war to declare independence.;[From.GetTitledName] a profité du chaos provoqué par la guerre civile pour se déclarer indépendant.;[From.GetTitledName] hat die Gelegenheit genommen aus dem Chaos des Bürgerkriegs die Unabhängigkeit zu erklären.;;[From.GetTitledName] ha aprovechado el caos provocado por la guerra civil para declararse independiente.;;;;;;;;;x
EVTOPTA210037;Traitor!;Traître !;Verräter!;;Traidor!;;;;;;;;;x
EVTDESC110044;My poor reputation has resulted in my heir being almost equally poorly regarded among my peers.;Ma bien piètre réputation a rejailli sur mon héritier qui aussi mal vu que moi par mes pairs.;Meinen schlechten Ruf hat dazu geführt, dass mein Erben fast ebenso schlecht mit meinen Altersgenossen betrachtet wird.;;Mi mala reputación ha salpicado a mi heredero que estará casi tan mal visto como yo por mis iguales.;;;;;;;;;x
EVTDESC3084;Upholding the virtue of Charity means to bear wrongs patiently. There are some people who dislike me personally and wish me bad luck, but I forgive them.;Soutenir les vertus de la charité implique de supporter patiemment les torts que l'on peut vous faire. Il y a certaines personnes qui ne m'aiment pas et ne me souhaite que des mauvaises choses, mais je les pardonne. ;Der Schutz der Tugend der Barmherzigkeit bedeutet Unrecht geduldig zu ertragen. Es gibt einige Leute, die mich mögen und persönlich wünsche mir Pech, aber ich vergebe ihnen.;;Propugnar las virtudes de la caridad implica soportar pacientemente los daños que te puedan hacer. Hay algunas personas que no me quieren nada y me desean cosas horribles, pero los perdono.;;;;;;;;;x
EVTDESC210021;To [Root.GetTitledFirstName] from [From.GetTitledFirstName]\n\nI am shocked and appalled to hear of the rebellion of the treacherous [FromFrom.GetTitledFirstName]. My forces are of course at your disposal, but as the just and benevolent [Root.PrimaryTitle.GetRulerTitle] that I know you to be, I am certain that you will not mind first settling the small territorial dispute that exists between us so that we may stand united on the battlefield, untroubled by such trifling matters.;A [Root.GetTitledFirstName] de [From.GetTitledFirstName]\n\nJ'ai été autant choqué qu’épouvanté en apprenant la rébellion du traître [FromFrom.GetTitledFirstName]. Mes forces sont bien entendu à votre disposition, mais comme je vous sais un juste et bienveillant [Root.PrimaryTitle.GetRulerTitle], je suis certain que vous n’aurez aucune objection à d’abord régler le petit conflit territorial qui existe entre nous, afin que nous puissions nous tenir côte à côte sur le champ de bataille l’esprit libre de toute querelle.;;;Al [Root.GetTitledFirstName] de [From.GetTitledFirstName]\n\nEstoy tan sorprendido como horrorizado al enterarme de la rebelión del traidor [FromFrom.GetTitledFirstName]. Mis fuerzas están a vuestra disposición, pero como sé que sois un justo y benevolente [Root.PrimaryTitle.GetRulerTitle], estoy seguro de que no tendréis ninguna objeción para resolver el pequeño conflicto territorial que existe entre nosotros, para poder estar codo con codo en el campo de batalla sin la mente en otro conflicto.;;;;;;;;;x
EVTOPTA210021;Accept [From.GetHerHis] demands;Accepter sa demande;;;Aceptar sus demandas;;;;;;;;;x
EVTOPTB210021;I will not be blackmailed;On ne me fera pas chanter;;;No seré chantajeado;;;;;;;;;x
EVTTOOLTIP210021;A contested title will be demanded from [Root.Liege.GetTitledFirstName] in exchange for your support;Un titre contesté va être demander à [Root.Liege.GetTitledFirstName] en échange de votre soutien;;;Un título en disputa será exigido a [Root.Liege.GetTitledFirstName] a cambio de tu apoyo.;;;;;;;;;x
EVTDESC210022;To [Root.GetTitledFirstName] from [From.GetTitledFirstName]\n\nI accept your outrageous demands, but know that your treacherous opportunism in my time of need will not be forgotten.;A [Root.GetTitledFirstName] de [From.GetTitledFirstName]\n\nJ'accède à votre odieuse demande, mais sachez bien que votre traître opportunisme quand je suis dans le besoin ne sera pas oublié. ;;;A [Root.GetTitledFirstName] de [From.GetTitledFirstName]\n\nAccedo a vuestra odiosa demanda, pero sabed bien que vuestro oportunismo no será olvidado. ;;;;;;;;;x
EVTOPTA210022;Excellent!;Excellent !;;;Excelente!;;;;;;;;;x
EVTDESC210023;To [Root.GetTitledFirstName] from [From.GetTitledFirstName]\n\nI refuse to bow to your veiled threats. You have no rights to the title you claim, and if you choose to side with the rebels you will hang with all the other traitors.;A [Root.GetTitledFirstName] de [From.GetTitledFirstName]\n\nJe refuse de compisser mes chausses devant vos menaces voilées. Vous n'avez aucun droit sur le titre que vous revendiquez et si vous choisissez de rejoindre les rebelles, vous partagerez la corde de vos nouveaux comparses. ;;;A [Root.GetTitledFirstName] de [From.GetTitledFirstName]\n\nMe niego a cer ante vuestras amenazas veladas. No tenéis ningún derecho sobre el título que reclamáis y si elegís apoyar a los rebeldes, compartiréis la misma cuerda que ellos.;;;;;;;;;x
EVTOPTA210023;[From.GetSheHeCap] will regret this!;[From.GetSheHeCap] le regrettera !;;;[From.GetSheHeCap] se arrepentirá!;;;;;;;;;x
EVTOPTB210023;Oh well, it was worth a try;Tant pis, cela valait le coup d'essayer;;;Lástima, pero valió la pena intentarlo.;;;;;;;;;x
EVTDESC210030;The civil war is over and we have won. My loyal supporters are now eagerly expecting the rewards due for their military service. How should I reward them?;La guerre civile est finie et nous avons gagné. Mes fidèles soutiens attendent désormais leurs récompenses en échange de de leur aide militaire. Comment pourrais-je les récompenser ? ;;;La guerra civil ha acabado y hemos vencido. Mis fieles seguidores esperan sus recompensas a cambio de su ayuda militar. Cómo podría recompensarles?;;;;;;;;;x
EVTOPTA210030;They will be granted tax privileges;Ils bénéficieront de privilèges fiscaux;;;Se beneficiarán de privilegios fiscales;;;;;;;;;x
EVTOPTB210030;They shall have the full honor of our victory;Ils recevront tous les honneurs attachés à notre victoire;;;Recibirán todos los honores de nuestra victoria;;;;;;;;;x
EVTOPTC210030;They will get... nothing!;Ils n'auront… rien !;;;Tendrán...nada!;;;;;;;;;x
EVTDESC210031;[From.GetTitledFirstName] has granted [From.GetHerHis] loyal supporters tax privileges at the expense of the other lords of the realm such as myself.;[From.GetTitledFirstName] a octroyé des privilèges fiscaux à ses fidèles soutiens au détriment des autres seigneurs du royaume tels que moi. ;;;[From.GetTitledFirstName] ha otorgado privilegios fiscales a sus fieles seguidores en detrimento de los demás señores del Reino como yo.;;;;;;;;;x
EVTOPTA210031;Argh!;Argh !;;;Argh!;;;;;;;;;x
EVTDESC210032;[From.GetTitledFirstName] has granted me tax privileges as a reward for my loyal service during the civil war.;[From.GetTitledFirstName] m'a octroyé des privilèges fiscaux en récompense de mes loyaux services durant la guerre civile. ;;;[From.GetTitledFirstName] me ha otorgado privilegios fiscales en recompensa de mis leales servicios durante la guerra civil. ;;;;;;;;;x
EVTOPTA210032;Excellent!;Excellent !;;;Excelente!;;;;;;;;;x
EVTDESC210033;[From.GetTitledFirstName] has granted [From.GetHerHis] loyal supporters glory and honor at the expense of the other lords of the realm such as myself.;[From.GetTitledFirstName] a octroyé gloire et honneurs à ses fidèles soutiens au détriment des autres seigneurs du royaume tels que moi.;;;[From.GetTitledFirstName] ha otorgado gloria y honor a sus fieles seguidores en detrimento de los demáss señores del Reino como yo.;;;;;;;;;x
EVTOPTA210033;Argh!;Argh !;;;Argh!;;;;;;;;;x
EVTDESC210034;[From.GetTitledFirstName] has granted me glory and honor as a reward for my loyal service during the civil war.;[From.GetTitledFirstName] m'a octroyé gloire et honneurs en récompense de mes loyaux services durant la guerre civile. ;;;[From.GetTitledFirstName] me ha otorgado gloria y honor en recompensa de mis leales servicios durante la guerra civil.;;;;;;;;;x
EVTOPTA210034;Excellent!;Excellent !;;;Excelente!;;;;;;;;;x
EVTDESC210035;[From.GetTitledFirstName] has reneged on [From.GetHerHis] promises during the civil war and refused to reward his loyal supporters.;[From.GetTitledFirstName] est revenu sur les promesses qu'il avait faites durant la guerre civile et a refusé de récompenser ses fidèles soutiens. ;;;[From.GetTitledFirstName] olvidó las promesas hechas durante la guerra civil y ha rechazado recompensar a sus fieles seguidores.;;;;;;;;;x
EVTOPTA210035;Treachery!;Trahison !;;;Traición;;;;;;;;;x
opinion_approved_law;Approved Proposed Law;A approuvé la loi proposée;Stimmte Gesetz zu;;Ha aprobado la ley propuesta;;;;;;;;;x
opinion_ignored_law;Rejected Proposed Law;A rejetée la loi proposée;Lehnte Gesetz ab;;Ha rechazado la ley propuesta;;;;;;;;;x
holding_ball;Holding a wedding;Hôte d'un marriage;;;Celebrar una boda;;;;;;;;;x
EVTDESCplot_events_CK2plus.1;An opportunity has arisen to attempt the kidnapping of [Root.PlotTarget.GetTitledName]. My fellow plotters are just waiting for my signal to proceed.;Une occasion se présente pour enlever [Root.PlotTarget.GetTitledName]. Mes complices n'attendent que mon signal pour entrer en action. ;Eine Gelegenheit ist entstanden, um die Entführung von [Root.PlotTarget.GetTitledName] zu versuchen. Meine Verschwörer warten nur auf mein Signal, um fortzufahren.;;Se presenta una ocasión para secuestrar a [Root.PlotTarget.GetTitledName]. Mis cómplices esperan a mi señal para entrar en acción. ;;;;;;;;;x
EVTOPTAplot_events_CK2plus.1;We strike after dark!;Nous frapperons à la tombée de la nuit !;Wir gehen nach Einbruch der Dunkelheit!;;Atacaremos por la noche!;;;;;;;;;x
EVTOPTBplot_events_CK2plus.1;Wait for a better opportunity...;Attendons une meilleure occasion…;Warte auf eine bessere Gelegenheit;;Esperaremos una mejor ocasión;;;;;;;;;x
EVTOPTCplot_events_CK2plus.1;This is too dishonorable;Voilà qui est bien trop vil;Das ist zu unehrenhaft;;Esto es demasiado deshonroso;;;;;;;;;x
EVTDESCplot_events_CK2plus.2;As I was sleeping, [From.GetTitledFirstName] broke into my bedchamber and put a dagger to my throat. I was forced out into the courtyard, where [From.GetHerHis] co-conspirators were waiting on fast horses. [From.GetTitledFirstName] now has me locked up in the basement of [From.GetHerHis] manor and is demanding that I give [From.GetHerHim] the land [From.GetSheHe] considers rightfully [From.GetHerHis]. If I refuse, [From.GetSheHe] is threatening to kill me...;Alors que je dormais, [From.GetTitledFirstName] a pénétré dans ma chambre et m'a mis une dague sous la gorge. J'ai été conduit jusque dans la cour, où ses co-conspirateurs attendaient sur des montures fraîches. Me voilà désormais enfermé au sous-sol du manoir de [From.GetTitledFirstName], qui exige que je lui abandonne les terres qu'[From.GetSheHe] considère légitimement siennes. Si je refuse, [From.GetSheHe] a menacé de me tuer...;Während ich schlief, brach [From.GetTitledFirstName] in meine Kammer ein und setze mir einen Dolch an die Kehle. Ich wurde in den Innenhof gebracht wo bereits [From.GetHerHis]e Mitverschwörer mit schnellen Pferden warteten. [From.GetTitledFirstName] kerkerte mich im Verlies von [From.GetHerHis] ein und verlangte, dass ich [From.GetHerHim] die Ländereien von [From.GetHerHim] an [From.GetSheHe] übergebe, die rechtmäßig [From.GetHerHis] gehören. Wenn ich mich weigere, droht [From.GetSheHe], mich zu töten.;;Mientras dormía, [From.GetTitledFirstName] entró en mis aposentos y me ha puesto una daga en la garganta. He sido conducido hasta el patio, donde los cómplices esperaban con monturas frescas. Ahora estoy encerrado en las mazmorras de [From.GetTitledFirstName], que exige las tierras que considera legítimamente suyas. Si no acepto, me matará...;;;;;;;;;x
EVTOPTAplot_events_CK2plus.2;Take the land, just don't kill me!;Prenez les terres, mais ne me tuez pas!;Nim mein Land , aber töte mich nicht !;;Tomad las tierras, pero no me matéis!;;;;;;;;;x
EVTOPTBplot_events_CK2plus.2;I do not give in to threats;Je ne cède pas aux menaces;Ich gebe Drohungen nicht nach;;No cedo ante las amenazas!;;;;;;;;;x
EVTTOOLTIPplot_events_CK2plus.2;The kidnapping succeeds;L'enlèvement est un succès;Das Kidnapping ist erfolgreich;;El secuestro ha sido un éxito;;;;;;;;;x
