#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
obj_become_regent_title;Become Regent;Devenir régent(e);;;Convertirse en Regente;;;;;;;;;x
EVTOPTAregency.51;I'm sure [FromFrom.GetSheHe] knows what she is doing;Je suis sûr qu'[FromFrom.GetSheHe] sait ce qu'[FromFrom.GetSheHe] fait.;;;Estoy seguro de que sabe lo que hace.;;;;;;;;;x
EVTDESCregency.52;[Root.GetTitledFirstName], in the name of [From.Liege.GetTitledFirstName], I hereby invite you to join the council in [From.Liege.Capital.GetName]. I trust you will be a valuable servant here.\n\nSigned,\n[FromFrom.GetTitledFirstName], [FromFrom.GetLordLady] Protector of [FromFrom.Liege.PrimaryTitle.GetName];[Root.GetTitledFirstName], au nom de [From.Liege.GetTitledFirstName], je vous invite par la présente à rejoindre le conseil à [From.Liege.Capital.GetName]. Je pense sincérement que vous y ferez des merveilles.\n\nSigné,\n[FromFrom.GetTitledFirstName], [FromFrom.GetLordLady] Protector of [FromFrom.Liege.PrimaryTitle.GetName];;;[Root.GetTitledFirstName], en nombre de [From.Liege.GetTitledFirstName], por la prsente os invito a uniros al Consejo en [From.Liege.Capital.GetName]. Creo sinceramente que seréis un valioso servidor.\n\nFirmado,\n[FromFrom.GetTitledFirstName], [FromFrom.GetLordLady] Protector de [FromFrom.Liege.PrimaryTitle.GetName];;;;;;;;;x
EVTOPTAregency.52;You do me a great honour [FromFrom.PrimaryTitle.GetFOA];Vous me faîtes un grand honneur [FromFrom.PrimaryTitle.GetFOA];;;Será un gran honor, [FromFrom.PrimaryTitle.GetFOA];;;;;;;;;x
EVTDESCregency.53;[FromFrom.GetTitledFirstName], using [FromFrom.GetHerHis] powers as regent, has decided to appoint [From.GetTitledFirstName] to a position on your council. [FromFrom.GetSheHeCap] seems to think [From.GetTitledFirstName] is the most suited for the task.;[FromFrom.GetTitledFirstName], usant de ses pouvoirs de régent, a décidé de nommer [From.GetTitledFirstName] à votre conseil. [FromFrom.GetSheHeCap] semble penser que [From.GetTitledFirstName] est la personne qu'il faut.;;;[FromFrom.GetTitledFirstName], utilizando su poder como regente, ha decidido nombrar a [From.GetTitledFirstName] para tu Consejo. [FromFrom.GetSheHeCap] parece pensar que [From.GetTitledFirstName] es la persona adecuada.;;;;;;;;;x
EVTOPTAregency.53;It is [FromFrom.GetHerHis] council really;C'est vraiment son conseil.;;;Realmente es su Consejo.;;;;;;;;;x
opinion_appointed_to_council;Appointed Me To Liege's Council;M'a nommé au conseil du suzerain;;;Me ha nombrado consejero del Señor;;;;;;;;;x
regent_appoint_councillor;Appoint To Liege's Council;Nommer au conseil du suzerain;;;Nombrar para el Consejo del Señor;;;;;;;;;x
regent_appoint_councillor_desc;Using you powers as [Root.Liege.GetTitledFirstName]'s regent, you can appoint [Root.GetTitledFirstName] to [Root.Liege.GetHerHis] council.;En usant de vos pouvoirs en tant que régent(e) de [Root.Liege.GetTitledFirstName], vous pouvez nommer [Root.GetTitledFirstName] au conseil.;;;Utilizando tus poderes como regente de [Root.Liege.GetTitledFirstName], puedes nombrar a [Root.GetTitledFirstName] al Consejo.;;;;;;;;;x
TOOLTIPregent_appoint_councillorSPARE;A vacant position that [Root.GetTitledFirstName] can occupy is available on [Root.Liege.GetTitledFirstName]'s council\n;Une position est vacante dans le conseil de [Root.Liege.GetTitledFirstName] (A l'exception du mestre/soigneur et du prêtre)\n;;;;;;;;;;;;x
EVTDESCregent.700;To all noble subjects of [From.GetTitledFirstName], I have deemed the powers and privileges of the [From.GetTitle] over the nobles of [FromFrom.Liege.PrimaryTitle.GetName] to be too great. So, using my powers as regent, I have decided to restrict these powers and enact a series of laws lowering realm authority.\n\nSigned,\n[FromFrom.GetTitledFirstName], [FromFrom.GetLordLady] Protector of [FromFrom.Liege.PrimaryTitle.GetName];A tous les nobles sujets de [From.GetTitledFirstName], j'ai toujours pensé que les privilèges du(e la) [From.GetTitle] sur les nobles de [FromFrom.Liege.PrimaryTitle.GetName] étaient trop grands. Aussi, usant de mes pouvoirs de régent(e), j'ai décidé de restreindre ces pouvoirs en initiant une série de lois réduisant l'autorité de la Couronne.\n\nSigné,\n[FromFrom.GetTitledFirstName], [FromFrom.GetLordLady] Protecteur de [FromFrom.Liege.PrimaryTitle.GetName];;;A todos los nobles súbditos de [From.GetTitledFirstName], siempre he pensado que los privilegios del [From.GetTitle] sobre los nobles de [FromFrom.Liege.PrimaryTitle.GetName] eran demasiado grandes. Por ello, utilizando mis poderes como regente, he decidido restringir estos poderes iniciando una serie de leyes reduciendo la autoridad de la Corona.\n\nFirmado,\n[FromFrom.GetTitledFirstName], [FromFrom.GetLordLady] Protector de [FromFrom.Liege.PrimaryTitle.GetName];;;;;;;;;x
EVTOPTAregent.700;Our aims are fulfilled;Notre but est atteint.;;;Nuestros objetivos se han cumplido.;;;;;;;;;x
TOOLTIPWINREGENCYWAR;[Root.GetTitledFirstName] assumes the regency of [From.GetTitledFirstName]\n;[Root.GetTitledFirstName] assume la régence de [From.GetTitledFirstName]\n;;;[Root.GetTitledFirstName] asume la regencia de [From.GetTitledFirstName]\n;;;;;;;;;x
EVTDESCregency.54;Whilst [From.GetSheHe] reigned, [From.GetTitledFirstName] decreed that you should be the regent of [Root.Liege.GetTitledFirstNameWithDynastyNoRegnal] should [From.GetHerHis] rule end before [Root.Liege.GetFirstName] is ready to rule. Now this time has come, and you assume the regency and title [Root.GetLordLady] Protector of [Root.Liege.PrimaryTitle.GetName].;Pendant qu'[From.GetSheHe] régnait, [From.GetTitledFirstName] a décrété que si jamais son règne devait finir avant que [Root.Liege.GetFirstName] ne soit capable de régner, vous assumeriez la régence. Maintenant, l'heure est venue, vous devenez régent(e) et prenez le titre de [Root.GetLordLady] Protecteur(Protectrice) de [Root.Liege.PrimaryTitle.GetName].;;;Mientras [From.GetSheHe] reinaba, [From.GetTitledFirstName] decretó que debías ser el regente de [Root.Liege.GetTitledFirstNameWithDynastyNoRegnal] hasta que [Root.Liege.GetFirstName] esté listo para gobernar. Ese momento ha llegado, y asumes la regencia y el título de [Root.GetLordLady] Protector de [Root.Liege.PrimaryTitle.GetName].;;;;;;;;;x
EVTOPTAregency.54;I will guide the new [Root.Liege.GetTitle] through this turmoil;Je guiderai [Root.Liege.GetTitle] pendant ces temps troubles;;;Guiaré el nuevo [Root.Liege.GetTitle] ;;;;;;;;;x
EVTDESCregency.55;Thanks to you, [Root.Liege.GetTitledFirstNameWithDynastyNoRegnal] now rules as the rightful [Root.Liege.GetTitle] of [Root.Liege.PrimaryTitle.GetName]. The [Root.Liege.GetTitle] cannot currently rule in [Root.Liege.GetHerHis] own right however, and so naturally you assume the regency and title [Root.GetLordLady] Protector of [Root.Liege.PrimaryTitle.GetName].;Grâce à vous, [Root.Liege.GetTitledFirstNameWithDynastyNoRegnal] règne maintenant en tant que [Root.Liege.GetTitle] légitime de [Root.Liege.PrimaryTitle.GetName]. Le(la) [Root.Liege.GetTitle] ne peut cependant pas régner en son nom propre, par conséquent vous assumez la régence et le titre de [Root.GetLordLady] Protecteur(Protectrice) de [Root.Liege.PrimaryTitle.GetName].;;;Gracias a ti, [Root.Liege.GetTitledFirstNameWithDynastyNoRegnal] gobierna ahora como el legítimo [Root.Liege.GetTitle] de [Root.Liege.PrimaryTitle.GetName]. El [Root.Liege.GetTitle] no puede gobernar aún, y como es natural asumes la regencia y el título de [Root.GetLordLady] Protector de [Root.Liege.PrimaryTitle.GetName].;;;;;;;;;x
EVTOPTAregency.55;It is only right I guide the [Root.Liege.GetTitle];Il est normal que je guide le(la) [Root.Liege.GetTitle];;;Es solo derecho, yo guío el [Root.Liege.GetTitle];;;;;;;;;x
EVTDESCregency.61;After a series of meetings, [FromFrom.GetTitledFirstNameNoRegnal]'s council has agreed to wage war on [From.PrimaryTitle.GetFullName], all that is needed is for you to grant approval on the [FromFrom.GetTitle]'s behalf.;Après une série de réunions, le Conseil de [FromFrom.GetTitledFirstNameNoRegnal] a consenti à déclarer la guerre à [From.PrimaryTitle.GetFullName]. Il ne lui faut plus que votre approbation au nom de [FromFrom.GetTitle];;;Tras una serie de reuniones, el Consejo de [FromFrom.GetTitledFirstNameNoRegnal] ha dado su consentimiento para declarar la guerra a [From.PrimaryTitle.GetFullName]. No hace falta más que tu aprobación en nombre de el [FromFrom.GetTitle];;;;;;;;;x
EVTOPTAregency.61;Yes, this plan is sound;Oui, ce plan est solide;;;Sí, el plan es sólido;;;;;;;;;x
EVTOPTBregency.61;No, I veto this war of folly;Non, je mets mon veto à cette folie;;;No, vetaré esta locura;;;;;;;;;x
EVTDESCregency.62;[FromFromFrom.GetTitledFirstNameWithDynasty]'s council had agreed to wage war on [Root.PrimaryTitle.GetFullName], but [From.GetLordLady] Regent [From.GetFirstNameWithDynasty] vetoed this attack on our realm.;Le Conseil de [FromFromFrom.GetTitledFirstNameWithDynasty] a consenti à déclarer la guerre à [Root.PrimaryTitle.GetFullName], mais le(la) [From.GetLordLady] régent [From.GetFirstNameWithDynasty] a mis son veto sur cette aggression contre notre royaume;;;El Consejo de [FromFromFrom.GetTitledFirstNameWithDynasty] ha dado su consentimiento para declarar la guerra a [Root.PrimaryTitle.GetFullName], pero el [From.GetLordLady] regente [From.GetFirstNameWithDynasty] ha vetado la agresión contra nuestro reino;;;;;;;;;x
EVTOPTAregency.62;They should be thankful for such wisdom;Il devrait le(la) remercier pour sa sagesse;;;Deberían agradecerle por su sabiduría;;;;;;;;;x
EVTDESCregency.63;[From.GetLordLady] Regent [From.GetFirstNameWithDynasty] vetoed my attack on [FromFrom.PrimaryTitle.GetFullName]!;[From.GetLordLady] Régent [From.GetFirstNameWithDynasty] a mis son veto sur mon attaque contre [FromFrom.PrimaryTitle.GetFullName]!;;;El [From.GetLordLady] regente [From.GetFirstNameWithDynasty] ha vetado mi ataque contra [FromFrom.PrimaryTitle.GetFullName]!;;;;;;;;;x
EVTOPTAregency.63;I guess it's [From.GetHerHis] decision;J'imagine que c'est sa décision;;;Supongo que es su decisión;;;;;;;;;x
regent_declare_war;Declare War For Claim;Déclarer la guerre pour appuyer sa revendication;;;Declarar guerra para apoyar su reivindicación;;;;;;;;;x
regent_declare_war_desc;Using [From.GetHerHis] powers as [From.GetLordLady] Regent, [From.GetTitledFirstNameNoRegnal] can declare war on [Root.Holder.PrimaryTitle.GetName] on [From.Liege.GetTitledFirstNameNoRegnal]'s behalf, pressing [From.GetHerHis] claim to the [Root.GetFullName];En utilisant ses pouvoirs de [From.GetLordLady] régent, [From.GetTitledFirstNameNoRegnal] peut déclarer la guerre contre [Root.Holder.PrimaryTitle.GetName] pour le compte de [From.Liege.GetTitledFirstNameNoRegnal], appuyant sa revendication sur [Root.GetFullName];;;Usando sus poderes como [From.GetLordLady] regente, [From.GetTitledFirstNameNoRegnal] puede declarar la guerra contra [Root.Holder.PrimaryTitle.GetName] en nombre de [From.Liege.GetTitledFirstNameNoRegnal], apoyando su reclamación sobre [Root.GetFullName];;;;;;;;;x
regent_declare_war_named;Declare War For [Root.GetName];Déclarer la guerre pour [Root.GetName];;;Declare la guerra por [Root.GetName];;;;;;;;;x
TOOLTIPCBENFORCEDTRUCE_REGENT;There is currently NOT an enforced truce between [From.Liege.GetTitledFirstNameNoRegnal] and [Root.Holder.GetTitledFirstNameNoRegnal]\n;Il n'y a actuellement aucune trêve entre [From.Liege.GetTitledFirstNameNoRegnal] et [Root.Holder.GetTitledFirstNameNoRegnal]\n;;;Actualmente no hay tregua entre [From.Liege.GetTitledFirstNameNoRegnal] y [Root.Holder.GetTitledFirstNameNoRegnal]\n;;;;;;;;;x
TOOLTIPregent_declare_warCOUNCIL;At least §Y4§! of [From.Liege.GetTitledFirstNameNoRegnal]'s councillors would vote for to declare war on [Root.Holder.GetTitledFirstNameNoRegnal] for [From.GetTitledFirstNameNoRegnal]'s claim\n(Either has an opinion of [From.GetTitledFirstNameNoRegnal] of §Y25§!, or owes a favour to [From.GetTitledFirstNameNoRegnal]. Conclave council voting positions also apply)\n;Au moins §Y4§! des conseillers de [From.Liege.GetTitledFirstNameNoRegnal] voteraient pour déclarer la guerre à [Root.Holder.GetTitledFirstNameNoRegnal] pour appuyer la revendication de [From.GetTitledFirstNameNoRegnal]\n(Chacun a une opinion de [From.GetTitledFirstNameNoRegnal] au moins égale à §Y25§!, ou doit une faveur à [From.GetTitledFirstNameNoRegnal]. Les positions de vote du Conclave s’apliquent également)\n;;;¡Por lo menos §Y4§! de los consejeros de [From.Liege.GetTitledFirstNameNoRegnal] votarían para declarar la guerra a [Root.Holder.GetTitledFirstNameNoRegnal] por [From.GetTitledFirstNameNoRegnal] su reclamación\n(Cualquiera que tenga una opinión de [From.GetTitledFirstNameNoRegnal] de §Y25§!, o le debe un favor a [From.GetTitledFirstNameNoRegnal]. También se aplican los puestos de votación del consejo del dlc cónclave)\n;;;;;;;;;x
TOOLTIPregent_declare_war;The [From.Liege.PrimaryTitle.GetFullName] declares war on [Root.Holder.PrimaryTitle.GetName], pressing [From.GetTitledFirstNameNoRegnal]'s claim on the [Root.GetFullName]\n;Le [From.Liege.PrimaryTitle.GetFullName] déclare la guerre à [Root.Holder.PrimaryTitle.GetName], appuyant la revendication de [From.GetTitledFirstNameNoRegnal] sur [Root.GetFullName]\n;;;El [From.Liege.PrimaryTitle.GetFullName] declara la guerra a [Root.Holder.PrimaryTitle.GetName], apoyando la reclamación de [From.GetTitledFirstNameNoRegnal] sobre [Root.GetFullName]\n;;;;;;;;;x
EVTDESCregency.64;[FromFrom.GetLordLady] Regent [FromFrom.GetTitledFirstNameWithDynasty], with the backing of the council, has declared war on [regent_war_title.Holder.PrimaryTitle.GetName], pressing [FromFrom.GetHerHis] claim on the [regent_war_title.GetFullName]!;[FromFrom.GetLordLady] régent [FromFrom.GetTitledFirstNameWithDynasty], avec le soutien du Conseil, a déclaré la guerre à [regent_war_title.Holder.PrimaryTitle.GetName] appuyant sa revendication sur [regent_war_title.GetFullName]!;;;[FromFrom.GetLordLady] regente [FromFrom.GetTitledFirstNameWithDynasty], con el apoyo del Consejo, ha declarado la guerra a [regent_war_title.Holder.PrimaryTitle.GetName] apoyando su reclamación sobre [regent_war_title.GetFullName]!;;;;;;;;;x
EVTOPTAregency.64;I hope [FromFrom.GetSheHe] knows what [FromFrom.GetSheHe] is doing;J'espère qu'[FromFrom.GetSheHe] sait ce qu'[FromFrom.GetSheHe] fait;;;Espero que sepa lo que hace;;;;;;;;;x
EVTDESCregency.71;For the good of the [From.PrimaryTitle.GetFullName], [From.GetHerHis] [From.GetHonorific] [From.GetTitledFirstNameNoRegnal] must be wed as soon as can be arranged. Using my powers as [From.GetLordLady] Regent, I must surely make the choice of [From.GetHerHis] new [From.GetHusbandWifeOpp]. My [regent_marriage_target.GetRootRelation] [regent_marriage_target.GetTitledFirstNameNoRegnal] would be the ideal choice, being from one of the noblest houses in the realm.;;;;;;;;;;;;;x
EVTDESCregency.71B;For the good of the [From.PrimaryTitle.GetFullName], [From.GetHerHis] [From.GetHonorific] [From.GetTitledFirstNameNoRegnal] must be wed as soon as can be arranged. Using my powers as [From.GetLordLady] Regent, I must surely make the choice of [From.GetHerHis] new [From.GetHusbandWifeOpp]. I would be the ideal choice, being from one of the noblest houses in the realm.;;;;;;;;;;;;;x
EVTOPTAregency.71;Yes, I will command the [From.GetTitle] to marry ;;;;;;;;;;;;;x
TOOLTIPregency.71;You command [From.GetTitledFirstNameNoRegnal] to marry [regent_marriage_target.GetTitledFirstNameNoRegnal];;;;;;;;;;;;;x
EVTOPTBregency.71;No, this is beyond my power;;;;;;;;;;;;;x
EVTDESCregency.72;Your [From.GetLordLady] Regent, [From.GetTitledFirstNameWithDynastyNoRegnal], has come to see you. [From.GetSheHeCap] says that for the good of the [Root.PrimaryTitle.GetFullName], you must be wed as soon as can be arranged. [From.GetSheHeCap] has already chosen your new [Root.GetHusbandWifeOpp], and is commanding you to wed [regent_marriage_target.GetTitledFirstNameWithDynastyNoRegnal].;;;;;;;;;;;;;x
EVTDESCregency.72B;Your [From.GetLordLady] Regent, [From.GetTitledFirstNameWithDynastyNoRegnal], has come to see you. [From.GetSheHeCap] says that for the good of the [Root.PrimaryTitle.GetFullName], you must be wed as soon as can be arranged. [From.GetSheHeCap] has already chosen your new [Root.GetHusbandWifeOpp]...[From.GetHerHim]self. [From.GetSheHeCap] is commanding you to wed [From.GetHerHim].;;;;;;;;;;;;;x
EVTOPTAregency.72;As is your command my [From.GetLordLady];;;;;;;;;;;;;x
TOOLTIPregency.72A;You agree to marry [regent_marriage_target.GetTitledFirstNameWithDynastyNoRegnal] without protest. This makes it more likely the realm will accept the [From.GetLordLady] Regent's decision;;;;;;;;;;;;;x
EVTOPTBregency.72;And what if I don't want to?!;;;;;;;;;;;;;x
TOOLTIPregency.72B;You protest the marriage to [regent_marriage_target.GetTitledFirstNameWithDynastyNoRegnal]. This makes it more likely the realm will NOT accept the [From.GetLordLady] Regent's decision;;;;;;;;;;;;;x
opinion_agreed_regent_marriage;Agreed to my Marriage Proposal;;;;;;;;;;;;;x
opinion_refused_regent_marriage;Refused my Marriage Proposal;;;;;;;;;;;;;x
EVTOPTCregency.72;I refuse to obey this 'command'!;;;;;;;;;;;;;x
tooltip_info_regent_mwedding_refuse;§YThis option is available due to your high stats§! ;;;;;;;;;;;;;x
EVTDESCregency.73;The [From.GetAgeAdjective] [From.GetTitle] did not protest when you informed [From.GetHerHim] of your intention to wed [From.GetHerHim] to your [regent_marriage_target.GetRootRelation]. [From.GetSheHeCap] seemed to agree it would be a good match.;;;;;;;;;;;;;x
EVTDESCregency.73B;The [From.GetAgeAdjective] [From.GetTitle] did not protest when you informed [From.GetHerHim] of your intention to wed [From.GetHerHim] yourself. [From.GetSheHeCap] seemed to agree it would be a good match.;;;;;;;;;;;;;x
EVTOPTAregency.73;Excellent, now we can inform the council;;;;;;;;;;;;;x
TOOLTIPregency.73;The regency council and realm is informed of your intention to wed [From.GetTitledFirstNameNoRegnal] and [regent_marriage_target.GetTitledFirstNameNoRegnal];;;;;;;;;;;;;x
EVTDESCregency.74;The [From.GetAgeAdjective] [From.GetGirlWomanBoyMan] did not seem happy when you informed [From.GetHerHim] of your intention to wed [From.GetHerHim] to your [regent_marriage_target.GetRootRelation]. [From.GetSheHeCap] protested [From.GetSheHe] may not want to, but when you pressed [From.GetHerHim] [From.GetSheHe] gave a sullen nod.;;;;;;;;;;;;;x
EVTDESCregency.74B;The [From.GetAgeAdjective] [From.GetGirlWomanBoyMan] did not seem happy when you informed [From.GetHerHim] of your intention to wed [From.GetHerHim] yourself. [From.GetSheHeCap] protested [From.GetSheHe] may not want to, but when you pressed [From.GetHerHim] [From.GetSheHe] gave a sullen nod.;;;;;;;;;;;;;x
EVTOPTAregency.74;I am in power here, I shall inform the council;;;;;;;;;;;;;x
EVTDESCregency.75;The [From.GetAgeAdjective] [From.GetGirlWomanBoyMan] reacted with anger when you informed [From.GetHerHim] of your intention to wed [From.GetHerHim] to your [regent_marriage_target.GetRootRelation]. [From.GetSheHeCap] is refusing outright to agree to the match, and whilst I am [From.GetLordLady] Regent the [From.GetTitle] has enough authority with the council to make my scheme impossible.;;;;;;;;;;;;;x
EVTDESCregency.75B;The [From.GetAgeAdjective] [From.GetGirlWomanBoyMan] reacted with anger when you informed [From.GetHerHim] of your intention to wed [From.GetHerHim] yourself. [From.GetSheHeCap] is refusing outright to agree to the match, and whilst I am [From.GetLordLady] Regent the [From.GetTitle] has enough authority with the council to make my scheme impossible.;;;;;;;;;;;;;x
EVTOPTAregency.75;This displeases me;;;;;;;;;;;;;x
opinion_resents_regent_marriage;Resents Regent Marriage Scheme;;;;;;;;;;;;;x
TOOLTIPregency.75;Due to [From.GetTitledFirstNameNoRegnal]'s high stats and authority with the council, the match does not go ahead;;;;;;;;;;;;;x
EVTDESCregency.76;The [FromFrom.GetLordLady] Regent to [From.GetTitledFirstNameNoRegnal], [FromFrom.GetTitledFirstNameWithDynastyNoRegnal], has sent word of the [From.GetTitle]'s wedding. [FromFrom.GetSheHeCap] proclaims that the [From.GetTitle] is to wed [regent_marriage_target.GetTitledFirstNameWithDynastyNoRegnal], [FromFrom.GetHerHis] own kins[regent_marriage_target.GetManWoman]. Apparently the [From.GetAgeAdjective] [From.GetTitle] has honestly agreed to this match.;;;;;;;;;;;;;x
EVTDESCregency.76B;The [FromFrom.GetLordLady] Regent to [From.GetTitledFirstNameNoRegnal] has sent word of the [From.GetTitle]'s wedding. [FromFrom.GetTitledFirstNameWithDynastyNoRegnal] proclaims that [FromFrom.GetSheHe] and the [From.GetTitle] are to be wed. Apparently the [From.GetAgeAdjective] [From.GetTitle] has honestly agreed to this match.;;;;;;;;;;;;;x
EVTDESCregency.76C;The [FromFrom.GetLordLady] Regent to [From.GetTitledFirstNameNoRegnal], [FromFrom.GetTitledFirstNameWithDynastyNoRegnal], has sent word of the [From.GetTitle]'s wedding. [FromFrom.GetSheHeCap] proclaims that the [From.GetTitle] is to wed [regent_marriage_target.GetTitledFirstNameWithDynastyNoRegnal], [FromFrom.GetHerHis] own kins[regent_marriage_target.GetManWoman]. Apparently the [From.GetAgeAdjective] [From.GetTitle] has protested against this match.;;;;;;;;;;;;;x
EVTDESCregency.76D;The [FromFrom.GetLordLady] Regent to [From.GetTitledFirstNameNoRegnal] has sent word of the [From.GetTitle]'s wedding. [FromFrom.GetTitledFirstNameWithDynastyNoRegnal] proclaims that [FromFrom.GetSheHe] and the [From.GetTitle] are to be wed. Apparently the [From.GetAgeAdjective] [From.GetTitle] has protested against this match.;;;;;;;;;;;;;x
EVTOPTAregency.76;This would sound like an ideal match for the [From.GetTitle];;;;;;;;;;;;;x
EVTOPTBregency.76;[FromFrom.GetFirstNameWithDynasty] is overreaching [FromFrom.GetHerHim]self with this!;;;;;;;;;;;;;x
TOOLTIPregency.76;You send word to [From.Capital.GetName] registering your protest;;;;;;;;;;;;;x
EVTDESCregency.77;The regency council has been informed of your decision to wed the [FromFrom.GetTitle] to your [regent_marriage_target.GetRootRelation]. Some people in the realm support your proposal, but many others find it presumptuous and have sent curt messages registering their disapproval. Some thought the realm and regency council should have been consulted first.;;;;;;;;;;;;;x
EVTDESCregency.77B;The regency council has been informed of your decision to wed the [FromFrom.GetTitle] yourself. Some people in the realm support your proposal, but many others find it presumptuous and have sent curt messages registering their disapproval. Some thought the realm and regency council should have been consulted first.;;;;;;;;;;;;;x
EVTDESCregency.77C;The regency council has been informed of your decision to wed the [FromFrom.GetTitle] to your [regent_marriage_target.GetRootRelation]. Most in the realm support your proposal, with only a few messages of opposition from minor [FromFrom.GetNobleName]s and councillors.;;;;;;;;;;;;;x
EVTDESCregency.77D;The regency council has been informed of your decision to wed the [FromFrom.GetTitle] yourself. Most in the realm support your proposal, with only a few messages of opposition from minor [FromFrom.GetNobleName]s and councillors.;;;;;;;;;;;;;x
EVTOPTAregency.77;I shall proceed with the plan;;;;;;;;;;;;;x
TOOLTIPregency.77PROTEST;[This.GetTitledFirstNameWithDynastyAndTitleNoRegnal] protested, and will change opinion of you by §R-40§! if you proceed;;;;;;;;;;;;;x
TOOLTIPregency.78PROTEST;[This.GetTitledFirstNameWithDynastyAndTitleNoRegnal] protested;;;;;;;;;;;;;x
EVTOPTBregency.77;Perhaps I should think again on this...;;;;;;;;;;;;;x
EVTDESCregency.78;After final consultation with the realm and regency council, and despite the protest and opposition raised from many vassals, [From.GetLordLady] Regent [From.GetFirstNameWithDynasty] is proceeding with the plan to have you wed to [regent_marriage_target.GetTitledFirstNameWithDynastyNoRegnal].;;;;;;;;;;;;;x
EVTDESCregency.78B;After final consultation with the realm and regency council, and despite the protest and opposition raised from many vassals, [From.GetLordLady] Regent [From.GetFirstNameWithDynasty] is proceeding with the plan to have you wed to eachother.;;;;;;;;;;;;;x
EVTOPTAregency.78;I will not forget this!;;;;;;;;;;;;;x
EVTOPTAregency.78B;I am sure we will be happy together;;;;;;;;;;;;;x
EVTDESCregency.79;After final consultation with the realm and regency council, and despite the protest and opposition raised from many vassals, [FromFrom.GetLordLady] Regent [FromFrom.GetFirstNameWithDynasty] is proceeding with the plan to have [From.GetTitledFirstNameNoRegnal] wed to [regent_marriage_target.GetTitledFirstNameWithDynastyNoRegnal].;;;;;;;;;;;;;x
EVTDESCregency.79B;After final consultation with the realm and regency council, and despite the protest and opposition raised from many vassals, [FromFrom.GetLordLady] Regent [FromFrom.GetFirstNameWithDynasty] is proceeding with the plan to wed [From.GetTitledFirstNameNoRegnal] to [FromFrom.GetHerHim]self.;;;;;;;;;;;;;x
EVTOPTAregency.79;This is outrageous and presumptuous!;;;;;;;;;;;;;x
EVTOPTAregency.79B;A fine match;;;;;;;;;;;;;x
EVTDESCregency.80;In the face of much tumult and opposition from both the regency council and important [Root.GetNobleName]s, [From.GetLordLady] Regent [From.GetFirstNameWithDynasty] is postponing your proposed match to [regent_marriage_target.GetTitledFirstNameWithDynastyNoRegnal].;;;;;;;;;;;;;x
EVTDESCregency.80B;In the face of much tumult and opposition from both the regency council and important [Root.GetNobleName]s, [From.GetLordLady] Regent [From.GetFirstNameWithDynasty] is postponing your proposed match to eachother.;;;;;;;;;;;;;x
EVTOPTAregency.80;I am glad [From.GetSheHe] has seen sense;;;;;;;;;;;;;x
EVTOPTAregency.80B;Well I don't why we shouldn't wed;;;;;;;;;;;;;x
EVTDESCregency.81;In the face of much tumult and opposition from both the regency council and important [From.GetNobleName]s, [FromFrom.GetLordLady] Regent [FromFrom.GetFirstNameWithDynasty] is postponing the proposed match between [From.GetTitledFirstNameNoRegnal] and [regent_marriage_target.GetTitledFirstNameWithDynastyNoRegnal].;;;;;;;;;;;;;x
EVTDESCregency.81B;In the face of much tumult and opposition from both the regency council and important [From.GetNobleName]s, [FromFrom.GetLordLady] Regent [FromFrom.GetFirstNameWithDynasty] is postponing the proposed match between [From.GetTitledFirstNameNoRegnal] and [FromFrom.GetHerHim]self.;;;;;;;;;;;;;x
EVTOPTAregency.81;I am satisfied with this outcome;;;;;;;;;;;;;x
EVTOPTAregency.81B;I think it would have been a good match;;;;;;;;;;;;;x
