skin_decision;Flay [Root.GetTitledFirstName] Alive;Écorcher le prisonnier;;;Despellejar a [Root.GetTitledFirstName] vivo.;;;;;;;;;x;;;;
death_text_perfect_specimen;A truly remarkable specimen, [GetSheHe] was blessed by [Religion.GetHighGodName] with an imposing frame, great beauty and a keen intellect. Now [GetSheHe] has passed, we may never see [GetHerHis] like again;;;;Un espécimen verdaderamente notable, fue bendecido (a) por [Religion.GetHighGodName] con una imponente, gran belleza y un intelecto agudo. Ahora que se ha ido, es posible que nunca más veamos alguien asi;;;;;;;;;;;;x;
death_text_brilliant;A brilliant [GetManWoman], [GetSheHe] ruled [PrimaryTitle.GetName] ably in every way possible. [GetSheHeCap] will be missed now that [GetSheHe] is with [Religion.GetHighGodName];;;;Un brillante [GetManWoman], gobernó [PrimaryTitle.GetName] hábilmente en todas las formas posibles. [GetSheHeCap] ahora sa ido con [Religion.GetHighGodName];;;;;;;;;;;;x;
death_text_incompetent;Not possessing of much talent, [GetHerHis] rule was marred by [GetHerHis] incompetence. Now [GetSheHe] has passed, may the [PrimaryTitle.GetPrefix] pass into more able hands;;;;No poseyendo mucho talento, el reinado se vio empañado por la incompetencia. Ahora que se ha ido, puede que  [PrimaryTitle.GetPrefix] pase a manos más capaces;;;;;;;;;;;;x;
death_text_monster;An infamous [GetManWoman], [GetFirstName] was truly a monster capable of cruel deeds and ruthless acts. [GetSheHeCap] will surely be made to answer for [GetHerHis] crimes before [Religion.GetHighGodName];;;;Una infame [GetManWoman], [GetFirstName] era realmente un monstruo capaz de actos crueles y actos despiadados. [GetSheHeCap] seguramente tendra que responder por sus crímenes ante [Religion.GetHighGodName];;;;;;;;;;;;x;
death_text_nickname;Known as [GetFirstNameWithNick], may [GetSheHe] find peace with [Religion.GetHighGodName];;;;Conocido (a) como [GetFirstNameWithNick], el encontrara la paz con [Religion.GetHighGodName];;;;;;;;;;;;x;
death_text_very_ugly;A hideous [GetManWoman], [GetSheHe] repulsed all who set their eyes upon [GetHerHim]. May [Religion.GetHighGodName] look upon [GetHerHim] more favourably.;;;;Un (a) horrible [GetManWoman], rechazó a todos los que pusieron sus ojos sobre el. La [Religion.GetHighGodName] lo mira de manera más favorable;;;;;;;;;;;;x;
death_text_very_strong;A [GetManWoman] of impressive stature, [GetFirstName]'s great strength and size made [GetHerHim] renowned throughout the realm. [GetSheHeCap] is with [Religion.GetHighGodName] now;;;;Un (a) [GetManWoman] de impresionante estatura, la gran fuerza y tamaño de [GetFirstName] hizo que fuera famoso en todo el reino. Ahora [GetSheHeCap] está con [Religion.GetHighGodName];;;;;;;;;;;;;
death_text_very_old;Robust and healthy, [GetFirstName] lived to the remarkable age of [GetAgeYears]. [GetSheHeCap] lived a full life, and is now finally with [Religion.GetHighGodName];;;;Robusto (a) y saludable, [GetFirstName] vivió hasta la notable edad de [GetAgeYears]. [GetSheHeCap] vivió una vida plena, y ahora finalmente está con [Religion.GetHighGodName];;;;;;;;;;;;x;
death_text_very_young;Lost to us far too soon, [GetFirstName] died at the age of only [GetAgeYears]. May the [GetBoyGirl] find more luck with [Religion.GetHighGodName];;;;Perdido (a) para nosotros demasiado pronto, [GetFirstName] murió a la edad de solo [GetAgeYears]. Que el [GetBoyGirl] encuentre más suerte con [Religion.GetHighGodName];;;;;;;;;;;;x;
death_text_great_warrior;One of the greatest warriors of our time, [GetFirstName]'s ability as a commander and swords[GetManWoman] were famed throughout the realm. Now [GetSheHe] has passed, we may never see [GetHerHis] like again;;;;Uno (a) de los mejores guerreros de nuestro tiempo, la habilidad de [GetFirstName] como comandante y espachin de [GetManWoman] eran famosas en todo el reino. Ahora que se ha ido, es posible que nunca más veamos alguien asi;;;;;;;;;;;;x;
death_text_kingsguard;Ever faithful to the [Liege.GetTitle], [GetFirstName] served on the Kingsguard until [GetHerHis] death. May the White Book record [GetHerHis] many great deeds;;;;Siempre fiel al [Liege.GetTitle], [GetFirstName] servido de la Guardia Real hasta su muerte . Que el Libro Blanco registre sus numerosas grandes obras;;;;;;;;;;;;x;
death_text_nightswatch;Ever watchful, [GetFirstName] served as a black brother of The Night's Watch until his death. [GetSheHeCap] pledged [GetHerHis] life and honor to the Night's Watch, and now [GetHerHis] watch is ended;;;;Siempre vigilante, [GetFirstName] sirvió como hermano negro de la Guardia de la Noche hasta su muerte. [GetSheHeCap] prometió dar la vida y su honor a Guardia de la Noche, y ahora su guardia ha terminado;;;;;;;;;;;;x;
death_text_tyrant;Known for disregarding the rights of [GetHerHis] subjects, [GetFirstName] was considered a tyrant. A tainted [GetManWoman], may [Religion.GetHighGodName] judge [GetHerHis] actions;;;;Conocido (a) por ignorar los derechos de la gentes, [GetFirstName] fue considerado un tirano. Un [GetManWoman] manchada, puede que haga que [Religion.GetHighGodName] juzgue sus acciones;;;;;;;;;;;;x;
death_text_dragon_rider;A [GetManWoman] famed throughout the world, [GetFirstName] was the master of a dragon, riding it into battle. [GetSheHeCap] will be missed now that [GetSheHe] is with [Religion.GetHighGodName];;;;Un (a) [GetManWoman] famoso en todo el mundo, [GetFirstName] era el maestro de un dragón, que lo montába en las batallas. [GetSheHeCap] se ha ido y ahora está con [Religion.GetHighGodName];;;;;;;;;;;;x;
death_text_dragon_slayer;Brave and cunning, [GetFirstName] is most famed for having slain a dragon. [GetSheHeCap] is with [Religion.GetHighGodName] now;;;;Valiente y astuto (a), [GetFirstName] es famoso por haber matado a un dragón. [GetSheHeCap] ahora está con [Religion.GetHighGodName];;;;;;;;;;;;x;
death_text_drowned;A godly [GetManWoman], [GetFirstName] was blessed by the Drowned God after almost drowning in salt water. [GetSheHeCap] is now with the drowned god, for what is dead may never die;;;;Un piadoso (a) [GetManWoman], [GetFirstName] fue bendecido por el Dios Ahogado después de casi ahogarse en agua salada. [GetSheHeCap] está ahora con el dios ahogado, porque lo que esta muerto no puede morir;;;;;;;;;;;;x;
death_text_liberator;A [GetManWoman] of principle, [GetFirstName] spent much of [GetHerHis] life opposing the practice of slavery. Many a freedman will remember [GetHerHim] with reverence;;;;Un [GetManWoman] de principio a fin, [GetFirstName] pasó gran parte de la vida oponiéndose a la práctica de la esclavitud. Muchos liberados recordarán su nombre con reverencia;;;;;;;;;;;;x;
death_text_dragon_dreams;A [GetManWoman] of the blood of the dragon, [GetFirstName] supposedly had prophetic dreams, often involving dragons. May these visions no longer haunt [GetHerHim] now [GetSheHe] is with [Religion.GetHighGodName];;;;[GetManWoman] tenia la sangre del dragón, [GetFirstName] supuestamente tenía sueños proféticos, a menudo con dragones. Que estas visiones ya no le persigan ahora que esta con [Religion.GetHighGodName];;;;;;;;;;;;x;
death_text_erudite;Always tolerent and understanding, [GetFirstName] had great knowledge of and sympathy for other cultures and religions. A learned [GetManWoman], [GetSheHe] is with [Religion.GetHighGodName] now;;;;Siempre tolerante y comprensivo (a), [GetFirstName] tenía gran conocimiento y simpatía por otras culturas y religiones. [GetManWoman], ahora está con [Religion.GetHighGodName];;;;;;;;;;;;x;
death_text_great_reaver;An Ironborn warrior feared throughout the world, [GetFirstName] was one of the greatest reavers of the age. May [GetSheHe] forever feast in victory with the Drowned God;;;;Un guerrero (a) de los hijos del hierro temído en todo el mundo, [GetFirstName] era uno de los mayores atracadores de la era. Que se divierta para siempre en la victoria con el Dios Ahogado;;;;;;;;;;;;x;
death_text_prestige;A prestigious [GetManWoman], [GetFirstName]'s deeds and exploits were spoken of throughout the known world. May [GetSheHe] now rest in peace with [Religion.GetHighGodName];;;;Se habla de las hazañas de un prestigioso (a) [GetManWoman], [GetFirstName] es conocido en todo el mundo conocido. Que ahora descanse en paz con [Religion.GetHighGodName];;;;;;;;;;;;x;
death_text_piety;Ever dedicated to [Religion.GetHighGodName], [GetFirstName] was a [GetManWoman] of impeccable piety. May [GetSheHe] now rest after a lifetime of serving [Religion.GetRandomGodName];;;;Siempre dedicado (a) a [Religion.GetHighGodName], [GetFirstName] era un [GetManWoman] de piedad impecable. Que ahora descanse después de una vida de servicio [Religion.GetRandomGodName];;;;;;;;;;;;x;
death_text_popular;A popular [GetManWoman], [GetFirstName] counted on many people as friend and confidant. Now [GetSheHe] is with [Religion.GetHighGodName], and will be sorely missed by many;;;;Un (a) popular [GetManWoman], [GetFirstName] contó con muchas personas como amigos y confidentes. Ahora está con [Religion.GetHighGodName], y será extrañado por muchos;;;;;;;;;;;;x;
death_text_unpopular;Never one to forgive a slight, [GetFirstName] made enemies with many people. Now [GetSheHe] is with [Religion.GetHighGodName], and will not be missed by [GetHerHis] rivals;;;;Nunca pudo perdonar un desaire, [GetFirstName] hizo enemigos con muchas personas. Ahora está con [Religion.GetHighGodName], y no se peleará con sus rivales;;;;;;;;;;;;x;
death_text_prolific;A prolific and fertile [GetManWoman], [GetFirstName] sired many children in [GetHerHis] lifetime. [GetSheHeCap] will be remembered fondly by [GetHerHis] many progeny;;;;Un (a) prolífico y fértil [GetManWoman], [GetFirstName] engendró a muchos niños en su vida. [GetSheHeCap] será recordado con cariño por sus muchos descendientes;;;;;;;;;;;;x;
death_text_barren;Rumoured to be barren, [GetFirstName] was not blessed by [Religion.GetHighGodName] with children. May [GetSheHe] find family and kinship with [Religion.GetHighGodName];;;;Se rumorea que es estéril, [GetFirstName] no fue bendecido (a) con niños. Ahora podra encontrar a su familia en [Religion.GetHighGodName];;;;;;;;;;;;x;
death_text_young;Taken from us in the prime of life, [GetFirstName] died at the age of only [GetAgeYears] years. [GetSheHeCap] will be missed now that [GetSheHe] is with [Religion.GetHighGodName];;;;Tomado (a) de nosotros en la flor de la vida, [GetFirstName] murió a la edad de solo [GetAgeYears] años. [GetSheHeCap] ahora está con [Religion.GetHighGodName];;;;;;;;;;;;x;
death_text_diplomacy;Always articulate and tactful, [GetFirstName] was known in [GetHerHis] time as an astute diplomat. A [GetManWoman] respected by all, [GetSheHe] is with [Religion.GetHighGodName] now;;;;Siempre articulado (a) y con tacto, [GetFirstName] era conocido como un astuto diplomático. [GetManWoman] era respetado por todos ahora está con [Religion.GetHighGodName];;;;;;;;;;;;x;
death_text_stewardship;A master of coin and administration, [GetFirstName] was known in [GetHerHis] time as an able steward of the realm. A [GetManWoman] of talent, [GetSheHe] is with [Religion.GetHighGodName] now;;;;;Un maestro (a) de la monedas y la administración, [GetFirstName] era conocido como un mayordomo muy capaz en el reino. [GetManWoman] tenia gran talento, ahora está con [Religion.GetHighGodName];;;;;;;;;;;;x
death_text_martial;Ever victorious on the battlefield, [GetFirstName] was known in [GetHerHis] time as an able commander and leader of men. A [GetManWoman] respected by [GetHerHis] enemies, [GetSheHe] is with [Religion.GetHighGodName] now;;;;Siempre victorioso (a) en el campo de batalla, [GetFirstName] era conocido como un comandante capaz y líder de hombres. [GetManWoman] era respetado por sus enemigos, ahora esta con [Religion.GetHighGodName];;;;;;;;;;;;x;
death_text_intrigue;Cunning and experienced at court, [GetFirstName] was known in [GetHerHis] time as an adaptable intriguer. A [GetManWoman] to be trusted, [GetSheHe] is with [Religion.GetHighGodName] now;;;;Astuto (a) y experimentado en la intriga, [GetFirstName] era conocido como un intrigante respetado. [GetManWoman] era una sombra, ahora está con [Religion.GetHighGodName];;;;;;;;;;;;x;
death_text_learning;Highly educated and intelligent, [GetFirstName] was known in [GetHerHis] time as a learned [GetManWoman]. Respected for [GetHerHis] wisdom, [GetSheHe] is with [Religion.GetHighGodName] now;;;;[GetFirstName] era altamente educado (a) e inteligente, Y [GetManWoman] es respetado por su sabiduría y ahora esta con [Religion.GetHighGodName];;;;;;;;;;;;x;
death_text_lunatic;A [GetManWoman] of unbalanced temperment, [GetFirstName] was prone to bouts of crazed lunacy. May [GetHerHis] mind find peace with [Religion.GetHighGodName] now [GetSheHe] is gone;;;;Un (a) [GetManWoman] de temperamento desequilibrado, [GetFirstName] era propenso a episodios de locura enloquecida. Que encuentre paz con [Religion.GetHighGodName] ahora que se a ido;;;;;;;;;;;;x;
death_text_drunkard;Always in [GetHerHis] cups, [GetFirstName] was a [GetManWoman] overly fond of drink. May [Religion.GetHighGodName] forgive [GetHerHis] drunkeness;;;;Siempre con su bebidas, [GetFirstName] era un (a) [GetManWoman] demasiado aficionado a la bebida. Puede que [Religion.GetHighGodName] perdone su borracheria;;;;;;;;;;;;x;
death_text_deformed;Cursed with an unfortunate deformation, [GetFirstName] had to overcome others revulsion of [GetHerHim]. May [Religion.GetHighGodName] look kindly upon [GetHerHim];;;;Maldito (a) con una desafortunada deformación, [GetFirstName] tuvo que superar la repugnancia que causaba a otros. Puede [Religion.GetHighGodName] lo mire amablemente;;;;;;;;;;;;x;
death_text_fair;An attractive [GetManWoman], [GetFirstName] was blessed with famous good looks. May [GetHerHis] good fortune continue now [GetSheHe] is with [Religion.GetHighGodName];;;;Un atractivo (a) [GetManWoman], [GetFirstName] fue bendecido con una apariencia muy hermosa. Tuvo muy buena fortuna ahora esta con [Religion.GetHighGodName];;;;;;;;;;;;x;
death_text_ugly;Difficult to lay eyes upon, [GetFirstName] was an ugly [GetManWoman]. May [Religion.GetHighGodName] look upon [GetHerHim] with sympathy;;;;Difícil de ver, [GetFirstName] era muy feo (a). [GetManWoman] puede que haora [Religion.GetHighGodName] lo mire con simpatía;;;;;;;;;;;;x;
death_text_dwarf;A [GetManWoman] of very small stature, [GetFirstName] had to forge a path restricted by ridicule of [GetHerHis] height. [GetSheHeCap] is with [Religion.GetHighGodName] now;;;;Un (a) [GetManWoman] de muy pequeña estatura, [GetFirstName] tuvo que cargar con las burlas dirigidas a lo ridículo de su altura [GetSheHeCap] ahora está con [Religion.GetHighGodName];;;;;;;;;;;;x;
death_text_genius;A natural in all [GetSheHe] attempted, [GetFirstName] had one of the keenest intellects known in the realm. A [GetManWoman] of such capability will be sorely missed;;;;Una mente brillante para todo  [GetFirstName] tenía uno de los intelectos más agudos conocidos en el reino. Un (a) [GetManWoman] de tal capacidad será extrañado;;;;;;;;;;;;x;
death_text_smart;Quick of wit and fast to learn, [GetFirstName] was a particularly able [GetManWoman]. [GetSheHeCap] is with [Religion.GetHighGodName] now;;;;Rápido (a) de ingenio y rápido al aprender, [GetFirstName] era un [GetManWoman] particularmente capaz. [GetSheHeCap] está ahora con [Religion.GetHighGodName];;;;;;;;;;;;x;
death_text_dumb;Somewhat dull, [GetFirstName] struggled with the demands placed upon [GetHerHim]. May [GetSheHe] find more wit now [GetSheHe] is with [Religion.GetHighGodName];;;;Algo aburrido (a), [GetFirstName] luchó con las demandas impuestas. Puede que encuentre más ingenio ahora que esta con [Religion.GetHighGodName];;;;;;;;;;;;x;
death_text_strong;Fit and hardy, [GetFirstName] was known for [GetHerHis] great strength. [GetSheHeCap] is with [Religion.GetHighGodName] now;;;;En forma y resistente, [GetFirstName] era conocido (a) por su gran fortaleza. [GetSheHeCap] está ahora con [Religion.GetHighGodName];;;;;;;;;;;;x;
death_text_weak;Sickly as a child, [GetFirstName]'s chronic weakness persisted throughout [GetHerHis] life. [GetSheHeCap] ruled the best [GetSheHe] could despite this;;;;Enfermizo (a) desde niño, la debilidad crónica de [GetFirstName] persistió durante toda la vida y ahora descansa en paz;;;;;;;;;;;;x;
death_text_celibate;A [GetManWoman] of resolve, [GetFirstName] abstained from all carnal pleasures. May [Religion.GetHighGodName] reward [GetHerHis] dedication;;;;Un (a) [GetManWoman] de gran resolución, [GetFirstName] se abstuvo de todos los placeres carnales. [Religion.GetHighGodName] alaba por su dedicación;;;;;;;;;;;;x;
death_text_hedonist;Always in a state of revelry, [GetFirstName] lived a full life of unabashed hedonism. [GetHerHisCap] court will no doubt miss the wild parties;;;;Siempre en estado de juerga, [GetFirstName] vivió una vida plena de descarado hedonismo. La corte de [GetHerHisCap] añorara sus salvajes fiestas;;;;;;;;;;;;x;
death_text_deceitful;A [GetManWoman] difficult to trust, [GetFirstName] was known to rule through deceptions and half-truths. [Religion.GetHighGodName] will no doubt see through [GetHerHis] deceit;;;;Un (a) [GetManWoman] difícil de confiar, se sabía que [GetFirstName] gobernaba mediante engaños y medias verdades. [Religion.GetHighGodName] sin duda verá a través de su engaño;;;;;;;;;;;;x;
death_text_honest;Always honest and true, [GetFirstName]'s subjects always knew to trust [GetHerHis] word. [GetSheHeCap] is with [Religion.GetHighGodName] now;;;;Siempre honesto (a) y sincero, los sujetos de [GetFirstName] siempre supieron confiar en su palabra. [GetSheHeCap] ahora está con [Religion.GetHighGodName];;;;;;;;;;;;x;
death_text_craven;Avoiding of all conflict and peril, [GetFirstName] was regarded as something of a craven. [GetSheHeCap] is with [Religion.GetHighGodName] now;;;;Evitando todo conflicto y peligro, [GetFirstName] fue considerado (a) como una especie de cobarde. [GetSheHeCap] ahora está con [Religion.GetHighGodName];;;;;;;;;;;;x;
death_text_brave;Never one to shy away from battle, [GetFirstName] was brave without question and will walk with [Religion.GetHighGodName] in the hereafter;;;;Nunca evito una batalla, [GetFirstName] fue valiente sin cuestionar y caminará con [Religion.GetHighGodName] en el más allá;;;;;;;;;;;;x;
death_text_ambitious;[GetFirstName]’s life was spent seeking and building power, [GetHerHis] ambition may even challenge the reign of [Religion.GetHighGodName];;;;La vida de [GetFirstName] se acabo buscando y construyendo poder, su ambición pudo incluso desafiar el reinado de [Religion.GetHighGodName];;;;;;;;;;;;x;
death_text_content;Never one to question [GetHerHis] position, [GetFirstName] died content, assured of the grace of [Religion.GetHighGodName];;;;Nunca nadie cuestionó su posición, [GetFirstName] murió contento (a), seguro de la gracia de [Religion.GetHighGodName];;;;;;;;;;;;x;
death_text_arbitrary;Arbitrary in life, [GetFirstName] acted according to [GetHerHis] will alone. Hopefully in death [GetSheHe] can at least heed  the guidance of [Religion.GetHighGodName];;;;Arbitrario (a) en la vida, [GetFirstName] actuó siempre solo. Con suerte en la muerte al menos puede prestar atención a la orientación de [Religion.GetHighGodName];;;;;;;;;;;;x;
death_text_just;A just [GetManWoman], [GetFirstName] sought fairness in life. Surely [Religion.GetHighGodName] will look favorably upon [GetHerHim];;;;[GetManWoman], [GetFirstName] buscó la equidad en la vida. Seguramente [Religion.GetHighGodName] lo (a) mirará favorablemente;;;;;;;;;;;;x;
death_text_cynical;[GetFirstName] spent much of [GetHerHis] life in doubt, but perhaps [Religion.GetHighGodName] will overlook [GetHerHis] uncertainty;;;;[GetFirstName] pasó la mayor parte de su vida en duda, pero quizás [Religion.GetHighGodName] pase por alto su incertidumbre;;;;;;;;;;;;x;
death_text_zealous;[GetFirstName] was a zealous follower of [Religion.GetHighGodName], [GetHerHis] devotion shall surely gain their favour in death;;;;[GetFirstName] fue un entusiasta seguidor (a) de [Religion.GetHighGodName], demostro una gran devoción seguramente ganará su favor en la muerte;;;;;;;;;;;;x;
death_text_paranoid;[GetFirstName] lived a life in fear and paranoia, may [GetSheHe] find relief with [Religion.GetHighGodName];;;;[GetFirstName] vivió con miedo y paranoia, puede que ahora encuentre alivio con [Religion.GetHighGodName];;;;;;;;;;;;x;
death_text_trusting;[GetFirstName] was never one to question others in life. May [Religion.GetHighGodName] protect [GetHerHim] from this in death;;;;[GetFirstName] nunca fue alguien que cuestionara a los demás en la vida. Puede que [Religion.GetHighGodName] lo proteja de esto en la muerte;;;;;;;;;;;;x;
death_text_cruel;[GetFirstName] died after a life of cruelty, feeding on torture. At least the small creatures of [GetHerHis] realm can finally rest easy;;;;[GetFirstName] murió después de una vida de crueldad, administrando torturas. Al menos las pequeñas criaturas del reino finalmente pueden descansar tranquilas;;;;;;;;;;;;x;
death_text_elephant;[GetFirstName] stood against aggression from birth, so [GetSheHe] made a natural member of the Elephant party until [GetHerHis] dying day;;;;[GetFirstName] se opuso a la agresión de elefantes desde su nacimiento, por lo que se convirtió en un (a) miembro natural de la sociedad de elefantes hasta su muerte;;;;;;;;;;;;x;
death_text_tiger;Fighting throughout [GetHerHis] life, [GetFirstName] was a member of the Tigers and pushed for conquest until [GetHerHis] last day;;;;Peleando durante toda la vida , [GetFirstName] fue miembro (a) de los Tigres y siempre iva a la conquista hasta su último día;;;;;;;;;;;;x;
death_text_fire_obsessed;Fire is an interesting thing, but [GetFirstName] was obsessed. As such only a pyre to send [GetHerHim] to meet [Religion.GetHighGodName] will do;;;;El fuego es algo interesante, pero [GetFirstName] estaba obsesionado (a) con el. Como tal, solo se necesito una chispa para enviarlo con [Religion.GetHighGodName];;;;;;;;;;;;x;
death_text_master_warrior;[GetFirstName] lived for a battle, becoming a peerless fighter. The people of [GetHerHis] realm sit amazed that anything short of [Religion.GetHighGodName] downed [GetHerHim];;;;[GetFirstName] vivió para las batallas, convirtiéndose en un luchador (a) sin igual. La gente del reino se asombra de que no fuera derrotado  ahora esta con [Religion.GetHighGodName];;;;;;;;;;;;x;
death_text_fashionable;Everyone tries to keep in trend, [GetFirstName] was one of few who set them. Now mayhaps even [Religion.GetHighGodName] will dain a change in style;;;;Todos intentan mantenerse en la tendencia, [GetFirstName] fue uno de los pocos (a) que la establecieron. Ahora puede que incluso [Religion.GetHighGodName] le de un cambio en el estilo;;;;;;;;;;;;x;
death_text_tall;In life, [GetFirstName] towered over everyone in the realm. In death [GetSheHe] may now compare [GetHerHis] stature against [Religion.GetHighGodName];;;;En la vida, [GetFirstName] superó a todos en el reino. En la muerte ahora puede comparar su estatura contra los [Religion.GetHighGodName];;;;;;;;;;;;x;
death_text_authoritative;In life, when [GetFirstName] would bark, even direwolves made obedience. Now [GetSheHe] may even test the authority of [Religion.GetHighGodName] over the afterlife;;;;En la vida de [GetFirstName] cuando hablaba, incluso los Lobos huargos lo (a) obedecían. Ahora incluso puede probar la autoridad sobre el más allá de [Religion.GetHighGodName];;;;;;;;;;;;x;
death_text_familyperson;[GetFirstName] lived for family, seeking company and friendship in kin. Surely such a life is worthy of the gifts and gaze of [Religion.GetHighGodName];;;;[GetFirstName] vivió para la familia, buscando compañía y amistad en la familia. Sin duda, una vida así es digna de los dones y la mirada de [Religion.GetHighGodName];;;;;;;;;;;;x;
death_text_stubborn;[GetFirstName] lived stubbornly, never accepting argument nor opposition. Indeed, even [Religion.GetHighGodName] must be amazed that [GetSheHe] gave in to death;;;;[GetFirstName] vivió obstinadamente, nunca aceptando argumentos ni oposición. De hecho, incluso [Religion.GetHighGodName] debe sorprenderse de que se rindiera ante la muerte;;;;;;;;;;;;x;
death_text_ruthless;Few in the realm liked [GetFirstName], fewer still dared to admit to it, none in [GetHerHis] hearing. Thankfully [Religion.GetHighGodName] has seen fit to take [GetFirstName];;;;A pocos en el reino les gustaba [GetFirstName], menos aún se atrevían a admitirlo. Afortunadamente [Religion.GetHighGodName] ha considerado apropiado llevarse a [GetFirstName];;;;;;;;;;;;x;
death_text_honorable;No person in the realm ever doubted [GetFirstName]’s honor. As such, many showed for [GetHerHis] funeral and even more offered prayers to [Religion.GetHighGodName] for [GetHerHim];;;;Ninguna persona en el reino alguna vez dudó del honor de [GetFirstName]. Como tal, muchos se presentaron para el funeral y aún más ofrecieron oraciones a [Religion.GetHighGodName] para su viaje;;;;;;;;;;;;x;
death_text_favored_by_rhllor;The night is dark and full of terrors, but the Lord of Light cast his light upon [GetFirstName] during [GetHerHis] life. [GetSheHeCap] walks in the light forever more;;;;La noche es oscura y está llena de terrores, pero el Señor de la Luz arrojó su luz sobre [GetFirstName] durante su vida [GetSheHeCap] caminara en la luz por siempre jamas;;;;;;;;;;;;x;
death_text_viking;Reaving and Raping, these are the things that filled [GetFirstName]’s time in life. Now in death, [GetSheHe] sails with [Religion.GetHighGodName] to reave for eternity;;;;Asesinando y violando, estas son las cosas que llenaron el tiempo de [GetFirstName] en su vida. Ahora en la muerte, navega con [Religion.GetHighGodName] para pagar todos sus pecados por toda la eternidad;;;;;;;;;;;;x;
death_text_seducer;Everything is sex', someone once said, [GetFirstName] put this to test as [GetSheHe] spent life in seduction. No doubt [Religion.GetHighGodName] will join that list;;;;Todo es sexo ', alguien dijo una vez, [GetFirstName] puso esto a prueba  tal como pasó su vida en la seducción. Sin duda [Religion.GetHighGodName] se unirá a esa lista;;;;;;;;;;;;x;
death_text_architect;[GetFirstName] spent [GetHerHis] life in construction and design. Now with [GetHerHis] death, [GetSheHe] will assuredly work on the grand abodes of [Religion.GetHighGodName];;;;[GetFirstName] pasó su vida en la construcción y diseño. Ahora con su muerte seguramente trabajará en las grandes moradas de [Religion.GetHighGodName];;;;;;;;;;;;x;
DEATH_DRAGONHORN;died after blowing on the dragon horn owned by $KILLER$;;;;murió después de soplar el cuerno de dragón propiedad de $KILLER$;;;;;;;;;;;;x;
DEATH_DRAGONHORN_NO_KILLER;died after blowing on a dragon horn;;;;murió después de soplar un cuerno de dragón;;;;;;;;;;;;x;
DEATH_DATE_SOLD_SLAVE;Sold to a Minor Slaver: $DATE|Y$ at age $AGE|Y$;;;;Vendido un esclavo menor: $FECHA|Y$ a la edad $EDAD|Y$;;;;;;;;;;;;x;
DEATH_DATE_ABANDONED;Abandoned to Die: $DATE|Y$ at age $AGE|Y$;;;;Abandonado para morir: $FECHA|Y$ at age $EDAD|Y$;;;;;;;;;;;;x;
DEATH_DATE_EXECUTION_BEYOND_WALL;Send Beyond the Wall to Die: $DATE|Y$ at age $AGE|Y$;;;;Enviado Más allá del Muro a morir: $FECHA|Y$ at age $EDAD|Y$;;;;;;;;;;;;x;
DEATH_DATE_MISSING;Went Missing: $DATE|Y$ at age $AGE|Y$;;;;Desapareció: $FECHA|Y$ a la edad $EDAD|Y$;;;;;;;;;;;;x;
EVTOPTAQimprisoned.10;Roast [From.GetHerHim] alive in a metal bull!;;;;!Asado (a) vivo en un toro de metal!;;;;;;;;;;;;x;
EVTOPTB50028;Keep [FromFrom.GetHerHis] skin as a trophy!;;;;!Desollado su piel como un trofeo!;;;;;;;;;;;;x;
DEATH_death_duel_murder_attempt;was slayed by $KILLER$ in an attempt to murder them;;;;;;;;;;;;;;;;x;
EVTOPTARimprisoned.10;Have [From.GetHerHis] corpse embalmed and displayed!;;;;;;;;;;;;;;;;x;
DEATH_duel_poison;was painfully killed by a poison inflicted during a duel by $KILLER$ ;;;;;;;;;;;;;;;;x;

