#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTOPTBred_priest.3;I am not bothered;Je ne suis pas dérangé;;;No estoy preocupado;;;;;;;;;x
EVTDESCred_priest.34E;The disfigurement [From.GetTitledFirstNameNoRegnal] suffers is great, but [red_priest.GetTitledFirstName] is confident [From.GetSheHe] can be cured using the most powerful blood magic [red_priest.GetSheHe] possesses. The [Root.Religion.GetPriestTitle] has [From.GetHerHim] drink copious amounts of potions to induce deep visions, whilst slaughtering a whole aurochs to start the spell. When [From.GetTitledFirstNameNoRegnal] wakes up from [From.GetHerHis] trance you find [From.GetSheHe] has been healed!;La défiguration dont [From.GetTitledFirstNameNoRegnal] souffre est grande, mais [red_priest.GetTitledFirstName] a confiance dans le Maître de la Lumière pour soigner son élu. Le Prêtre Rouge érige un grand bûcher, et invite [From.GetTitledFirstNameNoRegnal] à y entrer. Alors qu'[From.GetSheHe] obéit, la chaleur ne l'affecte pas, mais [From.GetHerHim] libère de son affliction!;;;;;;;;;;;;x
EVTDESCred_priest.34F;[From.GetTitledFirstNameNoRegnal] agreed to let [red_priest.GetTitledFirstName] try and heal [From.GetHerHim], and so the [Root.Religion.GetPriestTitle] has [From.GetHerHim] drink foul tasting potions to induce deep visions, whilst slaughtering a whole aurochs to start a powerful blood magic spell. When [From.GetTitledFirstNameNoRegnal] wakes up from [From.GetHerHis] trance you find [From.GetSheHe] has been healed!;[From.GetTitledFirstNameNoRegnal] a laissé [red_priest.GetTitledFirstName] tenter de [From.GetHerHim] guérir. Le Prêtre Rouge a érigé un grand bûcher, et invité [From.GetTitledFirstNameNoRegnal] à y entrer. Alors qu'[From.GetSheHe] obéissait, la chaleur ne l'affectait pas, mais l'a libéré de son affliction!;;;;;;;;;;;;x
EVTDESCred_priest.35;In an attempt to free [From.GetTitledFirstNameNoRegnal] of [From.GetHerHis] burdensome affliction, [red_priest.GetTitledFirstName] urged [From.GetHerHim] to enter a large pyre that [red_priest.GetSheHe] erected. It does not work however. [From.GetTitledFirstNameNoRegnal] trys to resist the searing heat and let the flames heal [From.GetHerHim], but they burn too much...;Dans une tentative de libérer [From.GetTitledFirstNameNoRegnal] de ses pénibles souffrances, [red_priest.GetTitledFirstName] l'a pressé d'entrer dans un grand bûcher qu'[red_priest.GetSheHe] avait érigé. Mais cela ne marche pas, [From.GetTitledFirstNameNoRegnal] essaye de résister à la chaleur étouffante et de laisser les flammes [From.GetHerHim] guérir, mais cela brûle trop...;;;;;;;;;;;;x
EVTDESCred_priest.35B;[From.GetTitledFirstNameNoRegnal] agreed to let [red_priest.GetTitledFirstName] try and heal [From.GetHerHim], and so the Red Priest urged [From.GetHerHim] to enter a large pyre that [red_priest.GetSheHe] erected. It does not work however. [From.GetTitledFirstNameNoRegnal] trys to resist the searing heat and let the flames heal [From.GetHerHim], but they burn too much...;[From.GetTitledFirstNameNoRegnal] a laissé [red_priest.GetTitledFirstName] tenter de [From.GetHerHim] soigner, aussi le Prêtre Rouge l'a-t-il pressé d'entrer dans un grand bûcher qu'[red_priest.GetSheHe] a érigé. Mais cela ne marche pas, [From.GetTitledFirstNameNoRegnal] essaye de résister à la chaleur étouffante et de laisser les flammes [From.GetHerHim] guérir, mais cela brûle trop...;;;;;;;;;;;;x
EVTDESCred_priest.35C;In an attempt to free [From.GetTitledFirstNameNoRegnal] of [From.GetHerHis] burdensome affliction, [red_priest.GetTitledFirstName] urges [From.GetHerHim] to drink a large quanity of shade-of-the-evening to induce a powerful spell. Despite the many animals [red_priest.GetSheHe] sacrifices to enable the magic, [From.GetSheHe] is not healed. [From.GetTitledFirstNameNoRegnal] at first seems to go into an intense sleep, but is soon screaming in agony...;Dans une tentative de libérer [From.GetTitledFirstNameNoRegnal] de ses pénibles souffrances, [red_priest.GetTitledFirstName] l’a pressé(e) de boire une grande quantité d’ombre-du-soir pour lancer un puissant sortilège. Malgré tous les animaux qu’[red_priest.GetSheHe] a sacrifiés pour provoquer la magie, [From.GetSheHe] n’est pas soigné(e). Au début, [From.GetTitledFirstNameNoRegnal] semble entrer dans un profond sommeil puis crie finalement d’agonie… ;;;;;;;;;;;;x
EVTDESCred_priest.35D;[From.GetTitledFirstNameNoRegnal] agreed to let [red_priest.GetTitledFirstName] try and heal [From.GetHerHim], and so the warlock urges [From.GetHerHim] to drink a large quanity of shade-of-the-evening to induce a powerful spell. Despite the many animals [red_priest.GetSheHe] sacrifices to enable the magic, [From.GetSheHe] is not healed. [From.GetTitledFirstNameNoRegnal] at first seems to go into an intense sleep, but is soon screaming in agony...;[From.GetTitledFirstNameNoRegnal] a laissé [red_priest.GetTitledFirstName] essayer de [From.GetHerHim] soigner, et le Conjurateur [From.GetHerHim] presse de boire une grande quantité d’ombre-du-soir pour lancer un puissant sortilège. Malgré tous les animaux qu’[red_priest.GetSheHe] a sacrifiés pour provoquer la magie, [From.GetSheHe] n’est pas soigné(e). Au début, [From.GetTitledFirstNameNoRegnal] semble entrer dans un profond sommeil puis crie finalement d’agonie…;;;;;;;;;;;;x
EVTDESCred_priest.35E;In an attempt to free [From.GetTitledFirstNameNoRegnal] of [From.GetHerHis] burdensome affliction, [red_priest.GetTitledFirstName] urges [From.GetHerHim] to drink a large quanity of potion to induce a powerful spell. Despite the many animals [red_priest.GetSheHe] sacrifices to enable the blood magic, [From.GetSheHe] is not healed. [From.GetTitledFirstNameNoRegnal] at first seems to go into an intense sleep, but is soon screaming in agony...;Dans une tentative de libérer [From.GetTitledFirstNameNoRegnal] de ses pénibles souffrances, [red_priest.GetTitledFirstName] l’a pressé(e) de boire une grande quantité d’ombre-du-soir pour lancer un puissant sortilège. Malgré tous les animaux qu’[red_priest.GetSheHe] a sacrifiés pour provoquer la magie, [From.GetSheHe] n’est pas soigné(e). Au début, [From.GetTitledFirstNameNoRegnal] semble entrer dans un profond sommeil puis crie finalement d’agonie… ;;;;;;;;;;;;x
EVTDESCred_priest.35F;[From.GetTitledFirstNameNoRegnal] agreed to let [red_priest.GetTitledFirstName] try and heal [From.GetHerHim], and so the [Root.Religion.GetPriestTitle] urges [From.GetHerHim] to drink a dark potion to induce a powerful spell. Despite the many animals [red_priest.GetSheHe] sacrifices to enable the blood magic, [From.GetSheHe] is not healed. [From.GetTitledFirstNameNoRegnal] at first seems to go into an intense sleep, but is soon screaming in agony...;[From.GetTitledFirstNameNoRegnal] a laissé [red_priest.GetTitledFirstName] essayer de [From.GetHerHim] soigner, et le Conjurateur [From.GetHerHim] presse de boire une grande quantité d’ombre-du-soir pour lancer un puissant sortilège. Malgré tous les animaux qu’[red_priest.GetSheHe] a sacrifiés pour provoquer la magie, [From.GetSheHe] n’est pas soigné(e). Au début, [From.GetTitledFirstNameNoRegnal] semble entrer dans un profond sommeil puis crie finalement d’agonie…;;;;;;;;;;;;x
EVTOPTAred_priest.35;Stop this madness! Get [From.GetHerHim] out!;Cessez cette folie! Sortez-[From.GetHerHim] de là!;;;;;;;;;;;;x
EVTDESCred_priest.36;[From.GetTitledFirstNameNoRegnal] has arranged for [From.job_spiritual.GetTitledFirstName] to try and heal your disfigurement. The Red Priest erects a large pyre, and bids you enter it. As you do so the heat does not harm you, and instead frees you of your affliction!;[From.GetTitledFirstNameNoRegnal] s'est arrangé pour que [From.job_spiritual.GetTitledFirstName] tente de soigner votre défiguration. Le Prêtre Rouge érige un grand bûcher, et vous invite à y entrer. Alors que vous obéissez, la chaleur ne vous cause pas de douleur, mais au contraire vous libère de votre affliction!;;;;;;;;;;;;x
EVTDESCred_priest.36B;You have agreed to let [From.GetTitledFirstNameNoRegnal]'s Red Priest try and heal your disfigurement. [From.job_spiritual.GetTitledFirstName] erects a large pyre, and bids you enter it. As you do so the heat does not harm you, and instead frees you of your affliction!;Vous avez laissé le Prêtre Rouge de [From.GetTitledFirstNameNoRegnal] tenter de soigner votre défiguration. [From.job_spiritual.GetTitledFirstName] érige un grand bûcher, et vous invite à y entrer. Alors que vous obéissez, la chaleur ne vous cause pas de douleur, mais au contraire vous libère de votre affliction!;;;;;;;;;;;;x
EVTDESCred_priest.36C;[From.GetTitledFirstNameNoRegnal] has arranged for [From.job_spiritual.GetTitledFirstName] to try and heal your disfigurement. The warlock has you drink copious amounts of shade-of-the-evening to induce deep visions, whilst slaughtering a whole aurochs to start a powerful spell. When you wake up from your trance you find you have been healed!;[From.GetTitledFirstNameNoRegnal] s'est arrangé pour que [From.job_spiritual.GetTitledFirstName] tente de soigner votre défiguration. Le Conjurateur vous fait boire de grandes quantités d’ombre-du-soir pour provoquer de profondes visions tout en sacrifiant un aurochs entier pour commencer le puissant sortilège. Quand vous vous réveillez de votre transe, vous êtes guéri(e) !;;;;;;;;;;;;x
EVTDESCred_priest.36D;You have agreed to let [From.GetTitledFirstNameNoRegnal]'s warlock try and heal your disfigurement. [From.job_spiritual.GetTitledFirstName] has you drink copious amounts of shade-of-the-evening to induce deep visions, whilst slaughtering a whole aurochs to start a powerful spell. When you wake up from your trance you find you have been healed!;Vous avez laissé le Conjurateur de [From.GetTitledFirstNameNoRegnal] tenter de soigner votre défiguration. [From.job_spiritual.GetTitledFirstName] vous fait boire de grandes quantités d’ombre-du-soir pour provoquer de profondes visions tout en sacrifiant un aurochs entier pour commencer le puissant sortilège. Quand vous vous réveillez de votre transe, vous êtes guéri(e) !;;;;;;;;;;;;x
EVTDESCred_priest.36E;[From.GetTitledFirstNameNoRegnal] has arranged for [From.job_spiritual.GetTitledFirstName] to try and heal your disfigurement. The [From.Religion.GetPriestTitle] has you drink a foul tasting potion to induce deep visions, whilst slaughtering a whole aurochs to enable the power of the blood magic. When you wake up from your trance you find you have been healed!;[From.GetTitledFirstNameNoRegnal] s'est arrangé pour que [From.job_spiritual.GetTitledFirstName] tente de soigner votre défiguration. Le Conjurateur vous fait boire de grandes quantités d’ombre-du-soir pour provoquer de profondes visions tout en sacrifiant un aurochs entier pour commencer le puissant sortilège. Quand vous vous réveillez de votre transe, vous êtes guéri(e) !;;;;;;;;;;;;x
EVTDESCred_priest.36F;You have agreed to let [From.GetTitledFirstNameNoRegnal]'s [From.Religion.GetPriestTitle] try and heal your disfigurement. [From.job_spiritual.GetTitledFirstName] has you drink a dark and foul tasting potion to induce deep visions, whilst slaughtering a whole aurochs to enable the blood magic. When you wake up from your trance you find you have been healed!;Vous avez laissé le Conjurateur de [From.GetTitledFirstNameNoRegnal] tenter de soigner votre défiguration. [From.job_spiritual.GetTitledFirstName] vous fait boire de grandes quantités d’ombre-du-soir pour provoquer de profondes visions tout en sacrifiant un aurochs entier pour commencer le puissant sortilège. Quand vous vous réveillez de votre transe, vous êtes guéri(e) !;;;;;;;;;;;;x
EVTDESCred_priest.37;[From.GetTitledFirstNameNoRegnal] has arranged for [From.job_spiritual.GetTitledFirstName] to try and heal your disfigurement. The Red Priest urges you to enter a large pyre that [red_priest.GetSheHe] erected. It does not work however. You try to resist the searing heat and let the flames heal you, but they burn too much...;[From.GetTitledFirstNameNoRegnal] s'est arrangé pour que [From.job_spiritual.GetTitledFirstName] tente de soigner votre défiguration. Le Prêtre Rouge vous presse d'entrer dans un grand bûcher qu'[red_priest.GetSheHe] a érigé. Mais cela ne marche pas. Vous essayez de résister à la chaleur étouffante en laissant les flammes vous soigner, mais cela brûle trop...;;;;;;;;;;;;x
EVTDESCred_priest.37B;You have agreed to let [From.GetTitledFirstNameNoRegnal]'s Red Priest try and heal your disfigurement. [From.job_spiritual.GetTitledFirstName] urges you to enter a large pyre that [red_priest.GetSheHe] erected. It does not work however. You try to resist the searing heat and let the flames heal you, but they burn too much...;Vous avez laissé le Prêtre Rouge de [From.GetTitledFirstNameNoRegnal] tenter de soigner votre défiguration. [From.job_spiritual.GetTitledFirstName] vous presse d'entrer dans un grand bûcher qu'[red_priest.GetSheHe] a érigé. Mais cela ne marche pas. Vous essayez de résister à la chaleur étouffante en laissant les flammes vous soigner, mais cela brûle trop...;;;;;;;;;;;;x
EVTDESCred_priest.37C;[From.GetTitledFirstNameNoRegnal] has arranged for [From.job_spiritual.GetTitledFirstName] to try and heal your disfigurement. The warlock urges you to drink a large quanity of shade-of-the-evening to induce a powerful spell. Despite the many animals [red_priest.GetSheHe] sacrifices to enable the magic, you are not healed. The visions you suffer are intense, but only make your affliction feel a hundred times worse, making your head feel ready to explode...;[From.GetTitledFirstNameNoRegnal] s'est arrangé pour que [From.job_spiritual.GetTitledFirstName] tente de soigner votre défiguration. Le Conjurateur vous fait boire de grandes quantités d’ombre-du-soir pour provoquer de profondes visions tout en sacrifiant un aurochs entier pour commencer le puissant sortilège. Mais vous ne guérissez pas. Les visions endurées sont si intenses qu’elles amplifient votre douleur. Votre tête paraît prête à exploser…;;;;;;;;;;;;x
EVTDESCred_priest.37D;You have agreed to let [From.GetTitledFirstNameNoRegnal]'s warlock try and heal your disfigurement. [From.job_spiritual.GetTitledFirstName] urges you to drink a large quanity of shade-of-the-evening to induce a powerful spell. Despite the many animals [red_priest.GetSheHe] sacrifices to enable the magic, you are not healed. The visions you suffer are intense, but only make your affliction feel a hundred times worse, making your head feel ready to explode...;Vous avez laissé le Conjurateur [From.GetTitledFirstNameNoRegnal] tenter de soigner votre défiguration. [From.job_spiritual.GetTitledFirstName] vous fait boire de grandes quantités d’ombre-du-soir pour provoquer de profondes visions tout en sacrifiant un aurochs entier pour commencer le puissant sortilège. Mais vous ne guérissez pas. Les visions endurées sont si intenses qu’elles amplifient votre douleur. Votre tête paraît prête à exploser…;;;;;;;;;;;;x
EVTDESCred_priest.37E;[From.GetTitledFirstNameNoRegnal] has arranged for [From.job_spiritual.GetTitledFirstName] to try and heal your disfigurement. The [From.Religion.GetPriestTitle] urges you to drink a dark and foul tasting potion to induce a powerful spell. Despite the many animals [red_priest.GetSheHe] sacrifices to then enable the blood magic, you are not healed. The visions you suffer are intense, but only make your affliction feel a hundred times worse, making your head feel ready to explode...;[From.GetTitledFirstNameNoRegnal] s'est arrangé pour que [From.job_spiritual.GetTitledFirstName] tente de soigner votre défiguration. Le Conjurateur vous fait boire de grandes quantités d’ombre-du-soir pour provoquer de profondes visions tout en sacrifiant un aurochs entier pour commencer le puissant sortilège. Mais vous ne guérissez pas. Les visions endurées sont si intenses qu’elles amplifient votre douleur. Votre tête paraît prête à exploser…;;;;;;;;;;;;x
EVTDESCred_priest.37F;You have agreed to let [From.GetTitledFirstNameNoRegnal]'s [From.Religion.GetPriestTitle] try and heal your disfigurement. [From.job_spiritual.GetTitledFirstName] urges you to drink a foul tasting concoction to induce a powerful spell. Despite the many animals [red_priest.GetSheHe] then sacrifices to enable the blood magic, you are not healed. The visions you suffer are intense, but only make your affliction feel a hundred times worse, making your head feel ready to explode...;Vous avez laissé le Conjurateur [From.GetTitledFirstNameNoRegnal] tenter de soigner votre défiguration. [From.job_spiritual.GetTitledFirstName] vous fait boire de grandes quantités d’ombre-du-soir pour provoquer de profondes visions tout en sacrifiant un aurochs entier pour commencer le puissant sortilège. Mais vous ne guérissez pas. Les visions endurées sont si intenses qu’elles amplifient votre douleur. Votre tête paraît prête à exploser…;;;;;;;;;;;;x
EVTDESCred_priest.38B;As you feel your life force drain from you, [red_priest.GetTitledFirstName] performs the Last kiss upon you. [red_priest.GetSheHeCap] fills [red_priest.GetHerHis] mouth with fire and breathes flame into you, to cleanse your soul. The fire revives you however! You have been resurrected by R'hllor!;Alors que vous sentez la vie s'échapper de vous, [red_priest.GetTitledFirstName] accomplit le Dernier baiser sur vous. [red_priest.GetSheHeCap] remplit sa bouche de feu et exhale ses flammes en vous, pour purifier votre âme. Le feu vous ravive! Vous avez été ressuscité par R'hllor!;;;;;;;;;;;;x
EVTDESCred_priest.38;As you die again, [red_priest.GetTitledFirstName] performs the Last kiss upon you. [red_priest.GetSheHeCap] fills [red_priest.GetHerHis] mouth with fire and breathes flame into you, to cleanse your soul. The fire revives you once more!;Alors que vous mourrez à nouveau, [red_priest.GetTitledFirstName] accomplit le Dernier Baiser sur vous. [red_priest.GetSheHeCap] remplit sa bouche de feu et exhale ses flamme en vous, pour purifier votre âme. Le feu vous ravive une fois de plus!;;;;;;;;;;;;x
EVTOPTAred_priest.38;I feel different, I forget...;Je me sens différent, j'oublie...;;;;;;;;;;;;x
resurrected_by_rhllor;Resurrected;Ressuscité;;;;;;;;;;;;x
resurrected_by_rhllor_desc;This character has died, but has been resurrected through the power of The Red God.;Ce personnage est mort, mais a été ressuscité par le pouvoir du Dieu Rouge.;;;;;;;;;;;;x
EVTDESCred_priest.39;Old age has caught up with you, you are once again dying...;La vieillesse vous a rattrapé, vous êtes à nouveau mourant...;;;;;;;;;;;;x
EVTOPTAred_priest.39;It is time I left this world...;Il est temps que je quitte ce monde...;;;;;;;;;;;;x
EVTOPTBred_priest.39;[red_priest.GetTitledFirstName] performs the Last kiss...;[red_priest.GetTitledFirstName] accomplit le Dernier baiser;;;;;;;;;;;;x
EVTDESCred_priest.40;Despite apparently dying at your hand, [From.GetTitledFirstNameNoRegnal] has miraculously survived having seemingly been resurrected!;Alors qu'il semblait mourir de votre main, [From.GetTitledFirstNameNoRegnal] a miraculeusement survécu grâce à ce qui semble être une miraculeuse résurrection!;;;;;;;;;;;;x
EVTOPTAred_priest.40;What sorcery is this!;Quelle est cette sorcellerie!?;;;;;;;;;;;;x
opinion_healed_me;Healed Me;M’a soigné(e);;;;;;;;;;;;x
opinion_failed_to_heal_me;Failed to Heal Me;A échoué à me soigner;;;;;;;;;;;;x
EVTDESCred_priest.1;A strange Red Priest from Essos has appeared at my court. They talk of a god R'hllor, the god of light, heat, and life and its antithesis the God whose name should not be spoken, the god of ice and death.;Un étrange Prêtre Rouge originaire d'Essos est arrivé à ma cour. Il parle d'un Dieu nommé R'hllor, le Maître de la lumière, cœur du feu et dieu de la flamme et de l'ombre et de son ennemi, le Dieu dont on ne peut prononcer le nom, le dieu de la glace et de la mort. ;;;Un extraño Sacerdote Rojo procedente de Essos ha aparecido en mi corte. Habla de un dios R'hllor, el dios de la luz, el calor, y la vida y de su antítesis el Dios cuyo nombre no debe ser pronunciado, el dios del hielo y de la muerte.;;;;;;;;;x
EVTOPTAred_priest.1;I shall embrace this new religion!;Je devrais embrasser cette nouvelle religion !;;;¡Voy a abrazar esta nueva religión!;;;;;;;;;x
EVTOPTBred_priest.1;Have this heretic jailed!;Mettez cet hérétique au cachot !;;;¡Haced que este hereje sea encarcelado!;;;;;;;;;x
EVTOPTCred_priest.1;How boring;Que c'est ennuyant;;;Qué aburrido;;;;;;;;;x
EVTDESCred_priest.2;Every night I have sung prayers at the fires lit by the Red Priest, gazing into the flames in an effort to receive visions of the future. The priests inform me the Lord of Light favours me.;Chaque nuit, j'ai chanté des prières pour les feux allumés par le Prêtre Rouge, plongeant mon regard dans les flammes dans l'espoir de recevoir des visions du futur. Le prêtre m'a dit que le Seigneur de la Lumière me soutient. ;;;Cada noche he cantado oraciones en los fuegos encendidos por el Sacerdote Rojo, con la mirada perdida en las llamas, en un esfuerzo por recibir visiones del futuro. Los sacerdotes me informan que  el Señor de Luz me favorece.;;;;;;;;;x
EVTOPTAred_priest.2;The night is dark and full of terrors;La nuit est sombre et pleine de terreurs;;;La noche es oscura y alberga horrores;;;;;;;;;x
EVTTITLEred_priest.3;Chosen by R'hllor;Choisi par R'hllor;;;Elegido por R'hllor;;;;;;;;;x
EVTDESCred_priest.3;The two Gods are locked in an eternal struggle over the fate of the world, a struggle that according the ancient prophecy from the books of Asshai, will only end when Azor Ahai, the messianic figure will return wielding a flaming sword called Lightbringer, the Red Sword of Heroes, and raise dragons of stone. The Red Priest says I am Azor Ahai reborn, worthy to wield lightbringer and drive the darkness from the world.;Les deux Dieux sont prisonniers d'une lutte éternelle pour le destin du monde, une lutte qui selon la prophétie des antiques livres d'Asshai prendra fin avec le retour d'Azor Ahai, une figure messianique qui reforgera Illumination, l'Epée Rouge des Héros et réveillera les dragons de pierre. Le Prêtre Rouge dit que je suis Azor Ahai, né pour faire renaître Illumination et débarrasser le monde des ténèbres. ;;;Los dos dioses están enfrascados en una lucha eterna por el destino del mundo, una lucha que, según la antigua profecía de los libros de Asshai, sólo terminará cuando Azor Ahai, vuelva blandiendo una espada de fuego llamada Dueña de Luz, la Espada Roja de los Héroes, y despierte dragones de piedra. El Sacerdote Rojo dice que soy Azor Ahai renacido, digno de portar a Dueña de Luz y erradicar la oscuridad del mundo.;;;;;;;;;x
EVTOPTAred_priest.3;I will bring the Light;J'amènerai la lumière;;;Voy a traer la Luz;;;;;;;;;x
EVTDESCreligious.1.2;You have turned your back on the faith that you believed in for many a year, and so now embrace the true path of [Root.Religion.GetName].;Vous avez tourné le dos à la foi à laquelle vous avez cru pendant des années. Vous croyez désormais en la toute puissance de(u) [Root.Religion.GetName].;;;Le habéis dado la espalda a la fe en la que habíais creído por muchos años, y ahora vais a abrazar el verdadero camino de [Root.Religion.GetName].;;;;;;;;;x
EVTOPTAreligious.1.2;The so called 'Lord of Light' was false;Le soi-disant ‘Maître de la Lumière’ n'existe pas.;;;El llamado 'Señor de Luz' era falso;;;;;;;;;x
EVTOPTBreligious.1.2;I do not believe in 'The Seven';Je ne crois pas aux ‘Sept’.;;;Yo no creo en 'Los Siete';;;;;;;;;x
EVTOPTCreligious.1.2;The Drowned God is barbaric;Le Dieu Noyé n'est qu'une chimère barbare.;;;El Dios Ahogado es de bárbaros;;;;;;;;;x
EVTDESCred_priest.5;Sacrificial burning as an offering to the Lord of Light will gain me much favour with him according to the Red Priests. The unbelievers I rule would not like it though.;D'après le Prêtre Rouge, un sacrifice par le feu pour le Maître de la Lumière me ferait bien voir à ses yeux. Mais les sceptiques sur mes terres n'apprécieront pas ce sacrifice. ;;;Sacrificando mediante fuego como ofrenda al Señor de Luz me va a hacer ganar mucho favor con él de acuerdo con los Sacerdotes Rojos. Pero a los incrédulos no les gustará.;;;;;;;;;x
EVTOPTAred_priest.5;Sacrifice the traitor [burning_target.GetTitledFirstName] [burning_target.GetOnlyDynastyName];Sacrifier le traître [burning_target.GetTitledFirstName] [burning_target.GetOnlyDynastyName].;;;Sacrificar al traidor [burning_target.GetTitledFirstName] [burning_target.GetOnlyDynastyName];;;;;;;;;x
EVTOPTAred_priest.5B;Sacrifice the unbeliever [burning_target.GetTitledFirstName] [burning_target.GetOnlyDynastyName];Sacrifier l'incroyant [burning_target.GetTitledFirstName] [burning_target.GetOnlyDynastyName].;;;Sacrificar al impío [burning_target.GetTitledFirstName] [burning_target.GetOnlyDynastyName];;;;;;;;;x
EVTOPTAred_priest.5C;Sacrifice [burning_target.GetTitledFirstName] [burning_target.GetOnlyDynastyName], [burning_target.GetSheHe] has king's blood;Sacrifier [burning_target.GetTitledFirstName] [burning_target.GetOnlyDynastyName], [burning_target.GetSheHe] a du sang de roi;;;Sacrificar a [burning_target.GetTitledFirstName] [burning_target.GetOnlyDynastyName], [burning_target.GetSheHe] tiene sangre real;;;;;;;;;x
EVTOPTBred_priest.5;Sacrifice some commoners from the dungeon;Sacrifier quelques roturiers prisonniers du donjon;;;Sacrificar a unos presos comunes de las mazmorras;;;;;;;;;x
EVTOPTCred_priest.5;I defy the Lord of Light's cruelty;Je défie la cruauté du Maître de la Lumière;;;Me opongo a la crueldad del Señor de Luz;;;;;;;;;x
EVTOPTDred_priest.5;Burn the Godswood in [burn_godswood.County.GetName]!;Brûlez le Bois Sacré à [burn_godswood.County.GetName]!;;;;;;;;;;;;x
opinion_burned_godswood;Burned a Godswood;A brûlé un Bois Sacré;;;;;;;;;;;;x
EVTOPTEred_priest.5;Have The [burn_temple.GetFullName] burnt to the ground!;Que le [burn_temple.GetFullName] soit réduit en cendres!;;;;;;;;;;;;x
burned_for_rhllor;Burned for R'hllor;A brûlé pour R'hllor;;;;;;;;;;;;x
opinion_burned_temple;Burned a Place of Worship;A brûlé un lieu de culte;;;;;;;;;;;;x
TOOLTIPred_priest.5CRUEL;The non-followers of R'hllor at your court and amongst your vassals will decrease their opinion of you by §R-15§! For 12 months\n;Les non-adeptes de R'hllor à votre cour et chez vos vassaux vont voir leur opinion à propos de vous baisser de §R-15§! Pour 12 mois\n;;;;;;;;;;;;x
opinion_burned_a_prisoner;Burned a Prisoner Alive;A brûlé un prisonnier vivant;;;;;;;;;;;;x
TOOLTIPred_priest.5BURNEDGODSWOOD;The followers of The Old Gods at your court and amongst your vassals will decrease their opinion of you by §R-15§! For 36 months\n;Les adeptes des Anciens Dieux à votre cour et chez vos vassaux vont voir leur opinion à propos de vous baisser de §R-15§! Pour 36 mois\n;;;;;;;;;;;;x
TOOLTIPred_priest.5BURNEDTEMPLE;The followers of [burn_temple.Holder.Religion.GetName] at your court and amongst your vassals will decrease their opinion of you by §R-15§! For 36 months\n;Les adeptes de [burn_temple.Holder.Religion.GetName] à votre cour et chez vos vassaux vont voir leur opinion à propos de vous baisser de §R-15§! Pour 36 mois\n;;;;;;;;;;;;x
TOOLTIPred_priest.5UNZEALOUS;The followers of R'hllor at your court and amongst your vassals will decrease their opinion of you by §R-10§! For 12 months\n;Les adeptes de R'hllor à votre cour et chez vos vassaux vont voir leur opinion à propos de vous baisser de §R-10§! Pour 12 mois\n;;;;;;;;;;;;x
burned_for_rhllor;Burned for R'hllor;A brûlé pour R'hllor;;;;;;;;;;;;x
burned_for_rhllor_desc;This temple was burned as an offering to The Lord of light;Ce temple a été brûlé en offrande au seigneur de la Lumière;;;;;;;;;;;;x
EVTDESCred_priest.6;[shadowbinder_target.GetTitledFirstName] has approached me with a bold proposal. She says she can help me in my desire to see [shadow_baby_target.GetTitledFirstNameNoRegnal] dead. She claims to have knowledge of the magic of Asshai, and says our union would unleash the inert power within me and strike down our foe.;L'une des dames de ma cour dit qu'elle peut m'aider à me débarrasser d'une personne en particulier. Elle est instruite en la magie d'Asshai et dit que notre union pourrait libérer le pouvoir en moi et frapper notre ennemi. ;;;Una de mis cortesanas dice que puede ayudarme con mi deseo de ver muerta a cierta persona . Ella ha sido instruída en lamagia de Asshai, y dice que nuestra unión podría liberar el poder inerte que hay en mi y abatir a nuestro enemigo.;;;;;;;;;x
EVTOPTAred_priest.6;Yes, we shall couple and then kill [shadow_baby_target.GetHerHim]!;Ils doivent mourir;;;Deben morir;;;;;;;;;x
EVTTOOLTIPred_priest.7;will be killed by the courtier's sorcery;va être tué(e) par la sorcellerie de la courtisane;;;Serán asesinados por la hechicería de la cortesana;;;;;;;;;x
EVTOPTBred_priest.6;I will not give in to temptation;Je ne céderai pas à la tentation;;;No voy a ceder a la tentación;;;;;;;;;x
favored_by_rhllor;Favoured by R'hllor;Favorisé par R'hllor;;;Favorecido por R'hllor;;;;;;;;;x
favored_by_rhllor_desc;This character is favoured by R'hllor;Ce personnage est favorisé par R'hllor;;;Este carácter se ve favorecido por R'hllor;;;;;;;;;x
chosen_by_rhllor;Chosen by R'hllor;Choisi par R'hllor;;;Elegido por R'hllor;;;;;;;;;x
chosen_by_rhllor_desc;This character is purported to be Azor Ahai reborn;Ce personnage est prétendument la réincarnation d'Azor Ahai;;;Este personaje dice ser Azor Ahai renacido;;;;;;;;;x
EVTTOOLTIPred_priest.8;will be killed by my Courtier's sorcery, but be discovered;va être tué(e) par la sorcellerie de cette dame de ma cour, mais ce sera découvert;;;Serán asesinados por la hechicería de mi cortesana, pero esta es descubierta;;;;;;;;;x
EVTDESCred_priest.7;Vile sorcery! I was going about my business when a malevolent shadow assaulted me!;Vile sorcellerie ! J'étais occupé à mes affaires lorsqu'une ombre malveillante s'est jetée sur moi et a pris ma vie !;;;¡Vil hechicería! ¡Estaba con mis asuntos cuando una sombra maléfica me asaltó y mearrebató mi vida!;;;;;;;;;x
EVTOPTAred_priest.7;The pain!;Quelle douleur !;;;¡El dolor!;;;;;;;;;x
